"ReactionID","ReactionName","Name","Status"
"HMR_7108",NA,"benzo[a]pyrene",0
"HMR_7110",NA,"naphthalene",1
"HMR_7112",NA,"aflatoxin B1",1
"HMR_7114",NA,"trichloroethene",1
"HMR_7116",NA,"bromobenzene",1
"HMR_7118",NA,"7,12-dimethylbenz[a]anthracene",0
"HMR_7120",NA,"4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone",0
"HMR_7122",NA,"1-nitronaphthalene",1
"HMR_7124",NA,"1,1-dichloroethylene",1
"HMR_7126",NA,"1,2-dibromoethane",0
"HMR_9023",NA,"TAG-extraction",0
"HMR_9024",NA,"chylomicron",0
"HMR_9032",NA,"SMCFA-blood-pool",0
"HMR_9808",NA,"propanoate",1
"HMR_9809",NA,"butyrate",1
"HMR_9810",NA,"valeric acid",1
"HMR_9811",NA,"hexanoic acid",1
"HMR_9812",NA,"heptylic acid",1
"HMR_9813",NA,"octanoic acid",1
"HMR_9814",NA,"nonanoic acid",1
"HMR_9815",NA,"decanoic acid",1
"HMR_9816",NA,"undecylic acid",1
"HMR_9033",NA,"NEFA blood pool in",0
"HMR_9034",NA,"glucose",1
"HMR_9035",NA,"linoleate",1
"HMR_9036",NA,"linolenate",1
"HMR_9037",NA,"phytanic acid",1
"HMR_9038",NA,"histidine",1
"HMR_9039",NA,"isoleucine",1
"HMR_9040",NA,"leucine",1
"HMR_9041",NA,"lysine",1
"HMR_9042",NA,"methionine",1
"HMR_9043",NA,"phenylalanine",1
"HMR_9044",NA,"threonine",1
"HMR_9045",NA,"tryptophan",1
"HMR_9046",NA,"valine",1
"HMR_9047",NA,"H2O",1
"HMR_9048",NA,"O2",1
"HMR_9049",NA,"VLDL",0
"HMR_9050",NA,"HDL",0
"HMR_9051",NA,"LDL",0
"HMR_9052",NA,"chylomicron remnant",0
"HMR_9053",NA,"VLDL remnant",0
"HMR_9054",NA,"HDL remnant",0
"HMR_9055",NA,"LDL remnant",0
"HMR_9056",NA,"NEFA blood pool out",0
"HMR_9058",NA,"CO2",1
"HMR_9061",NA,"alanine",1
"HMR_9062",NA,"asparagine",1
"HMR_9063",NA,"glutamine",1
"HMR_9064",NA,"tyrosine",1
"HMR_9065",NA,"cysteine",1
"HMR_9066",NA,"arginine",1
"HMR_9067",NA,"glycine",1
"HMR_9068",NA,"proline",1
"HMR_9069",NA,"serine",1
"HMR_9070",NA,"aspartate",1
"HMR_9071",NA,"glutamate",1
"HMR_9072",NA,"Pi",1
"HMR_9073",NA,"NH3",1
"HMR_9074",NA,"sulfate",1
"HMR_9075",NA,"urate",1
"HMR_9076",NA,"Fe2+",1
"HMR_9077",NA,"Na+",1
"HMR_9078",NA,"HCO3-",0
"HMR_9079",NA,"H+",1
"HMR_9080",NA,"zinc",1
"HMR_9081",NA,"K+",1
"HMR_9082",NA,"Ca2+",1
"HMR_9083",NA,"choline",1
"HMR_9084",NA,"ethanolamine",1
"HMR_9085",NA,"glycerol",1
"HMR_9086",NA,"acetate",1
"HMR_9087",NA,"ornithine",1
"HMR_9088",NA,"sulfite",1
"HMR_9089",NA,"phospholipids extracellular pool",0
"HMR_9090",NA,"methylimidazoleacetic acid",1
"HMR_9091",NA,"4-aminobutyrate",1
"HMR_9092",NA,"dopamine",1
"HMR_9093",NA,"noradrenaline",1
"HMR_9094",NA,"5-hydroxy-L-tryptophan",0
"HMR_9095",NA,"adrenaline",1
"HMR_9096",NA,"Fe3+",0
"HMR_9097",NA,"D-aspartate",1
"HMR_9098",NA,"D-alanine",1
"HMR_9099",NA,"ethanol",1
"HMR_9100",NA,"5-formyl-THF",0
"HMR_9101",NA,"PNP",1
"HMR_9102",NA,"lactose",1
"HMR_9103",NA,"H2S",1
"HMR_9104",NA,"1-methylnicotinamide",1
"HMR_9105",NA,"thiamin-P",1
"HMR_9106",NA,"thiamin-PPP",0
