test_ligand,auroc,aupr,pearson,target,target_weight,Sender,Target
TGFB1,0.517766181,0.178077019,0.067203523,BASP1/CALD1/CD14/CD38/COL1A1/COL1A2/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/FN1/GSTM3/IFIT3/IGF1/ITGA5/KLF5/LOX/LOXL1/LOXL2/LPL/MMP13/MMP8/MMP9/MSR1/NOTCH1/OAS1/PDGFA/PLAT/POSTN/S100A8/SLC2A1/SOCS2/SOX9/TAGLN/TGFBR1/THBS1/TIMP1/TJP1,0.0044648967027366/0.00485958471047617/0.00460091968010032/0.00496507649457889/0.00551568106052913/0.00782831487095467/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00583983968729012/0.00505985669037644/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00458687132566401/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.0044763744617301/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00436968741349716/0.00454997413425298/0.00585914002902647/0.00451954467713289/0.00556543482970622/0.00488703125090585/0.0028858694358619/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00616840973119509/0.00592596870735485/0.00514659632818426/0.00467637738219293,B-cells_Muscle,T-cells_Spleen
TGFB1,0.517766181,0.178077019,0.067203523,BASP1/CALD1/CD14/CD38/COL1A1/COL1A2/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/FN1/GSTM3/IFIT3/IGF1/ITGA5/KLF5/LOX/LOXL1/LOXL2/LPL/MMP13/MMP8/MMP9/MSR1/NOTCH1/OAS1/PDGFA/PLAT/POSTN/S100A8/SLC2A1/SOCS2/SOX9/TAGLN/TGFBR1/THBS1/TIMP1/TJP1,0.0044648967027366/0.00485958471047617/0.00460091968010032/0.00496507649457889/0.00551568106052913/0.00782831487095467/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00583983968729012/0.00505985669037644/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00458687132566401/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.0044763744617301/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00436968741349716/0.00454997413425298/0.00585914002902647/0.00451954467713289/0.00556543482970622/0.00488703125090585/0.0028858694358619/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00616840973119509/0.00592596870735485/0.00514659632818426/0.00467637738219293,Endothelial-cells_Lung,T-cells_Spleen
TGFB1,0.517766181,0.178077019,0.067203523,BASP1/CALD1/CD14/CD38/COL1A1/COL1A2/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/FN1/GSTM3/IFIT3/IGF1/ITGA5/KLF5/LOX/LOXL1/LOXL2/LPL/MMP13/MMP8/MMP9/MSR1/NOTCH1/OAS1/PDGFA/PLAT/POSTN/S100A8/SLC2A1/SOCS2/SOX9/TAGLN/TGFBR1/THBS1/TIMP1/TJP1,0.0044648967027366/0.00485958471047617/0.00460091968010032/0.00496507649457889/0.00551568106052913/0.00782831487095467/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00583983968729012/0.00505985669037644/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00458687132566401/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.0044763744617301/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00436968741349716/0.00454997413425298/0.00585914002902647/0.00451954467713289/0.00556543482970622/0.00488703125090585/0.0028858694358619/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00616840973119509/0.00592596870735485/0.00514659632818426/0.00467637738219293,Fibroblasts_Lung,T-cells_Spleen
TGFB1,0.525594032,0.11585243,0.060382718,AHR/CEBPA/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/GSTM3/IFIT3/ITGA5/LOX/LOXL2/MMP2/MMP8/MMP9/OAS1/PLAT/POSTN/SOCS2/SOX9/TAGLN/THBS1/TJP1,0.00469079625632911/0.0044708167747475/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00505985669037644/0.00466566099947073/0.00489292483453546/0.00465483345413051/0.00519585533520799/0.00539083089228823/0.00296622337140264/0.00537954034767452/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293,B-cells_Muscle,B-cells_Spleen
TGFB1,0.525594032,0.11585243,0.060382718,AHR/CEBPA/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/GSTM3/IFIT3/ITGA5/LOX/LOXL2/MMP2/MMP8/MMP9/OAS1/PLAT/POSTN/SOCS2/SOX9/TAGLN/THBS1/TJP1,0.00469079625632911/0.0044708167747475/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00505985669037644/0.00466566099947073/0.00489292483453546/0.00465483345413051/0.00519585533520799/0.00539083089228823/0.00296622337140264/0.00537954034767452/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293,Endothelial-cells_Lung,B-cells_Spleen
TGFB1,0.525594032,0.11585243,0.060382718,AHR/CEBPA/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/FBN1/GSTM3/IFIT3/ITGA5/LOX/LOXL2/MMP2/MMP8/MMP9/OAS1/PLAT/POSTN/SOCS2/SOX9/TAGLN/THBS1/TJP1,0.00469079625632911/0.0044708167747475/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00494533872999235/0.00505985669037644/0.00466566099947073/0.00489292483453546/0.00465483345413051/0.00519585533520799/0.00539083089228823/0.00296622337140264/0.00537954034767452/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293,Fibroblasts_Lung,B-cells_Spleen
TGFB1,0.506859526,0.158555046,0.059801524,AHR/CCL2/CCND1/CEBPA/COL1A1/COL1A2/COL5A1/CRYAB/CTLA4/E2F1/FBN1/HSPB1/IFIT3/IGF1/ITGA5/JAG1/LOX/LOXL1/LOXL2/MMP13/MMP8/MMP9/MSR1/OAS1/PLAT/PLAU/POSTN/S100A8/SOCS2/SOX9/TAGLN/THBS1/THBS2/TIMP1/TJP1,0.00469079625632911/0.00417084534022897/0.0049155449618628/0.0044708167747475/0.00551568106052913/0.00782831487095467/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00421216663193063/0.00494533872999235/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00577334026815912/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00568752429888432/0.00556543482970622/0.00488703125090585/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00762564350377563/0.00514659632818426/0.00467637738219293,B-cells_Muscle,Monocytes_Spleen
TGFB1,0.506859526,0.158555046,0.059801524,AHR/CCL2/CCND1/CEBPA/COL1A1/COL1A2/COL5A1/CRYAB/CTLA4/E2F1/FBN1/HSPB1/IFIT3/IGF1/ITGA5/JAG1/LOX/LOXL1/LOXL2/MMP13/MMP8/MMP9/MSR1/OAS1/PLAT/PLAU/POSTN/S100A8/SOCS2/SOX9/TAGLN/THBS1/THBS2/TIMP1/TJP1,0.00469079625632911/0.00417084534022897/0.0049155449618628/0.0044708167747475/0.00551568106052913/0.00782831487095467/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00421216663193063/0.00494533872999235/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00577334026815912/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00568752429888432/0.00556543482970622/0.00488703125090585/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00762564350377563/0.00514659632818426/0.00467637738219293,Endothelial-cells_Lung,Monocytes_Spleen
TGFB1,0.506859526,0.158555046,0.059801524,AHR/CCL2/CCND1/CEBPA/COL1A1/COL1A2/COL5A1/CRYAB/CTLA4/E2F1/FBN1/HSPB1/IFIT3/IGF1/ITGA5/JAG1/LOX/LOXL1/LOXL2/MMP13/MMP8/MMP9/MSR1/OAS1/PLAT/PLAU/POSTN/S100A8/SOCS2/SOX9/TAGLN/THBS1/THBS2/TIMP1/TJP1,0.00469079625632911/0.00417084534022897/0.0049155449618628/0.0044708167747475/0.00551568106052913/0.00782831487095467/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.00421216663193063/0.00494533872999235/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00577334026815912/0.00465483345413051/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00537954034767452/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00568752429888432/0.00556543482970622/0.00488703125090585/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00762564350377563/0.00514659632818426/0.00467637738219293,Fibroblasts_Lung,Monocytes_Spleen
TGFB1,0.508106019,0.128256313,0.055885907,AHR/CD86/COL1A1/COL4A1/COL5A1/CRYAB/CTLA4/CXCL10/FBN1/FN1/HSPB1/IFIT3/IGF1/ITGA5/LOXL1/LOXL2/MMP13/MMP8/MSR1/OAS1/PLAT/POSTN/SERPINE1/SOCS2/SOX9/TAGLN/THBS1/TJP1/TNF,0.00469079625632911/0.00479029368772346/0.00551568106052913/0.00485394028475774/0.00518054605732199/0.00461832386426685/0.00285268233680982/0.0042644906067313/0.00494533872999235/0.00583983968729012/0.0058713530651132/0.00466566099947073/0.00566017293649168/0.00489292483453546/0.00488498989928621/0.00519585533520799/0.00689669422180629/0.00296622337140264/0.00319786447902971/0.00454997413425298/0.00451954467713289/0.00556543482970622/0.00587025025317145/0.00437939856981626/0.0058129704724574/0.00666074381041192/0.00592596870735485/0.00467637738219293/0.00398806290438684,B-cells_Muscle,NK-cells_Spleen
