"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000002",1.10856549145647e-09,1.99838664518447e-09,1.67274876008649e-10,2.96143307681108e-09,-0.999999993860572
"HMDB0000005",-0.999999998837462,8.67255635037818e-09,-0.999999998572177,3.94556792255087e-10,-0.999999999670868
"HMDB0000008",-0.992038250926082,7.92599252086424e-09,-0.999999997408858,-0.999999999895959,-0.99999999650945
"HMDB0000010",-0.999999927260792,1.23625806474716e-06,-0.999999999671295,-0.999999749925318,-0.999999712969382
"HMDB0000012",-0.999757298962745,7.29451089157093e-05,-0.999999982605701,-0.999998457940211,1.71912559409974e-08
"HMDB0000014",-0.99999945772728,-0.999990621959729,3.11097377183033e-09,-0.999877378166609,-0.999999996117357
"HMDB0000015",-0.999999994128437,1.65551290808384e-07,1.18691976882231e-09,9.29808804998918e-09,1.87928862781309e-08
"HMDB0000016",-0.999999992551868,2.49676540741807e-07,1.07794114081839e-09,1.63445236784228e-08,2.98067851352473e-08
"HMDB0000017",-0.999999999506801,7.25906704838495e-08,2.332003491054e-09,3.96199979333231e-09,1.03031548728883e-09
"HMDB0000020",-0.999999998156792,3.34996418313791e-08,-0.999999999080344,4.50710364787408e-09,8.65162139420133e-10
"HMDB0000021",-0.99999999656392,-0.999999991491483,-0.999999997902662,1.41731616630246e-09,2.20867949069188e-09
"HMDB0000022",-0.999993029921502,3.26612088396772e-06,-0.999999976103302,2.65327741103253e-06,1.28528486778878e-06
"HMDB0000023",3.45238343502705e-06,1.3753338962526e-05,4.42502330371373e-09,1.36346120284765e-06,-0.999999626662152
"HMDB0000026",1.35936038688559e-06,-0.999995106576404,-0.999999998855714,6.20519204107646e-08,5.8690814265225e-07
"HMDB0000027",4.80452351754849e-07,4.31866236153809e-06,1.60243873887728e-07,1.66762741633439e-07,1.04713925964137e-07
"HMDB0000030",4.37418522948786e-07,9.21791078195303e-07,1.54890095895455e-07,1.5099644589575e-07,6.86278305898515e-08
"HMDB0000031",9.89863117022747e-09,-0.999999661077432,-0.999999998192127,-0.999999981417227,-0.999999974941659
"HMDB0000032",0.0431272677047162,0.032132344586918,-0.994434098482346,0.0167273265659506,-0.999004625933454
"HMDB0000033",9.35538261050682e-09,1.38250086434844e-06,1.95148233924886e-09,1.20809414818651e-06,6.07932925873285e-09
