"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000002",5.14535408824979e-09,1.14006797458204e-08,2.18095338646866e-08,4.73709423116117e-09,1.41406160357469e-09
"HMDB0000005",3.11972678590194e-09,8.85411191960136e-10,-0.999999999301401,1.52883750193634e-09,-0.999999999400085
"HMDB0000008",-0.999104347490549,-0.994831091793312,-0.999026413148289,-0.997464486859521,-0.997008012098677
"HMDB0000010",4.06069721576109e-09,1.64731166954358e-06,2.13479119948422e-08,-0.999998459412421,4.56825315891567e-06
"HMDB0000012",-0.999964149209324,0.000180530562723003,6.27281740890466e-05,3.46533448437083e-05,0.000998270503509028
"HMDB0000014",0.00236016532926123,-0.999532177290931,-0.999824946568187,0.00123546585235906,-0.997785001825949
"HMDB0000015",3.97111863490671e-09,3.88687071393409e-08,1.01968466494911e-08,1.97610555712277e-08,1.04383387410494e-08
"HMDB0000016",4.64307315428489e-09,6.03452915299029e-08,1.10194162914429e-08,3.20969267625889e-08,1.71431460574395e-08
"HMDB0000017",8.98879068558954e-09,1.57421452397501e-08,2.62990946160234e-08,9.04177941027178e-09,4.07181361900337e-09
"HMDB0000020",4.132936395992e-09,1.36199867798057e-09,5.37149262785556e-09,2.04159911188741e-10,-0.999999999118277
"HMDB0000021",8.02079694704376e-10,1.01729143930886e-09,7.61039896148819e-10,-0.999999999354649,1.75335728637585e-09
"HMDB0000022",2.56355299262073e-06,5.33086476156948e-06,-0.999999994460447,-0.999998871060112,-0.999997265187497
"HMDB0000023",1.06281285573598e-06,4.25928495376411e-06,5.93863227095516e-06,9.51485390773818e-07,9.85793855948886e-07
"HMDB0000026",1.54457215422598e-05,2.57645151515737e-05,5.09507991523426e-05,1.83125044552213e-05,9.67268663379747e-06
"HMDB0000027",0.00387554796760103,-0.989824835528304,0.00208809715230489,0.0135145154633399,-0.989339981525455
"HMDB0000030",8.06766543982904e-08,8.30019611168259e-08,3.00255248026428e-07,-0.999999987855001,7.60229240033745e-08
"HMDB0000031",-0.999999985093132,-0.999999923652178,-0.999999952396579,-0.999999961838487,-0.999999980130327
"HMDB0000032",0.00834284165659797,0.0321501181181461,0.0132343201620842,0.0238016407074716,0.000944523445943638
"HMDB0000033",-0.9999997738775,-0.999998683429245,-0.999998185360606,3.22245489003873e-07,-0.99999872182583
"HMDB0000034",0.0560577713246459,0.00892266376204807,-0.984108914807481,-0.950314797214492,0.0553601000732399
"HMDB0000036",3.9454904452267e-07,1.20214548825671e-08,3.07147078993061e-08,4.26769952641986e-07,7.26502293532562e-07
"HMDB0000037",-0.999999997020619,-0.999999990919581,4.21101360334126e-10,-0.999999992818054,-0.999999994192767
"HMDB0000038",-0.99612758862101,0.0101922970623276,-1.99791444982858,-1.98650419076863,0.0106701759309509
"HMDB0000039",-0.999999988575504,-0.999999971512538,-0.999999964158918,-0.999999996720527,-0.999999996235244
"HMDB0000042",0.00655934524788706,0.0143002741871837,0.0265627438946486,0.0158882718789631,0.0447285333802407
"HMDB0000043",1.01210584382235e-09,-0.99999999888808,1.08636663669511e-10,-0.999999997049321,2.69242621904253e-10
"HMDB0000044",-0.970694353868838,-0.993429382998171,0.0136686916988482,-0.991363688411974,0.00853355290826204
"HMDB0000045",-0.943841338691232,-0.988567010799361,0.0158185940658702,0.0501145829558998,-0.929990009372728
"HMDB0000050",-1.99373584980115,-1.98584934377811,0.00437027183834671,-1.99586703532539,-0.993194075604074
"HMDB0000051",0.555663049585266,0.87723666617228,1,0.590052006873212,0.355339334532584
"HMDB0000052",0.00115103286154429,0.0012435371447249,0.000478347327972603,0.00363172102231324,0.000894759352098946
"HMDB0000053",-0.999999989919065,3.36374395494681e-06,1.10596509059214e-08,1.46060889959876e-06,7.23325120500161e-07
"HMDB0000054",-0.999999298774616,1.36906553368068e-07,-0.999999580692711,-0.999999490282567,2.38573990002099e-07
"HMDB0000056",-0.999999681764273,-0.999999128438542,-0.999996979204973,8.43275773861988e-07,1.29687221188979e-06
"HMDB0000058",2.32397310336431e-05,1.50113186428774e-05,6.65203153367969e-05,2.84669469179004e-05,1.41699271054109e-05
"HMDB0000060",-0.999912333000693,6.14356620263686e-05,-0.999988607955264,9.6116462461904e-05,-0.999956082878042
"HMDB0000062",-0.997343628117349,-0.996906000679992,-0.998866791445319,-0.993442788387693,-0.99760034907049
"HMDB0000063",-0.981700843994132,-0.98546538940003,0.020265555930313,-0.996103319566531,-0.971065984005266
"HMDB0000064",-0.999999989845363,-0.999999980750693,-0.999999983026912,-0.99999999313935,-0.999999997703853
"HMDB0000067",0.0403502262022502,0.0260205709361344,0.0191729444679959,0.0425087021637722,0.0388566940375671
"HMDB0000068",2.29295801153689e-08,3.39579655817943e-08,4.55736872312644e-08,4.35802053454273e-08,9.88171463475568e-09
"HMDB0000071",-0.999887219050204,-0.999768468704011,-0.99960457374976,-0.999880740468479,-0.999933670708685
"HMDB0000072",3.11858626968194e-08,1.92794561517197e-08,3.71873723769626e-08,-0.999999998605392,1.55730173221504e-08
"HMDB0000073",5.87092074771567e-08,1.00364277077174e-07,1.09056398673257e-07,6.12512424341268e-08,7.47043169602684e-10
"HMDB0000076",0.000549579202580739,0.00433130506020115,-0.997383833266767,0.000844909996719226,0.000330332921327676
"HMDB0000077",-0.999455753402668,8.11324414876677e-05,0.000322976457868759,0.000266195744172832,-0.999610131024301
"HMDB0000078",5.13569307237773e-07,-0.9999997107462,1.22326679676703e-07,-0.999998473098755,-0.999998956956403
"HMDB0000079",4.12536700248718e-09,7.52832509738691e-09,1.1260636762501e-08,6.0483358494617e-09,2.6857544403327e-09
"HMDB0000082",9.06798172567411e-05,-0.999976995040316,8.87818348052495e-05,0.000277098332585119,0.000728062135123823
"HMDB0000085",-0.999997296319558,-0.999996862898656,-0.999994641993061,-0.999998005619884,-0.999998718343815
"HMDB0000089",4.44905029907545e-05,0.000107981777867465,4.70004993688918e-05,0.000124750105623043,0.000348695109185481
"HMDB0000092",-0.999999999025267,-0.99999999808677,2.58022204928667e-09,4.38034030724373e-09,3.86417916373331e-09
"HMDB0000094",-0.916981083722239,-0.95601049951911,-0.966784016276771,-0.945406851399022,-0.889702425910701
"HMDB0000095",5.88807961446445e-05,7.07799252227643e-05,9.08043184053397e-05,2.28891671498311e-05,-0.999968668080848
"HMDB0000097",0.00750393038833731,0.0110067563363234,0.00719670851851022,0.0154426372485891,0.0204596305784795
"HMDB0000098",1.5534260299995e-06,3.18830018966938e-06,3.49719930814378e-06,2.29323872817552e-06,3.58058912316914e-07
"HMDB0000099",2.33778697387222e-10,6.95025771822852e-10,-0.999999991908571,2.71581735363831e-09,-0.999999996589148
"HMDB0000101",-0.998029676277368,-0.99675786347837,0.000289876437843844,-0.998372161513306,-0.99901196944205
"HMDB0000107",-0.999999999876378,-0.99999999929486,-0.999999999959751,1.63539901135768e-10,-0.999999999983843
"HMDB0000108",-0.999999693646502,8.41965388538094e-07,-0.999998355373238,-0.999997050535369,1.14336470179667e-07
"HMDB0000112",1.35582106493293e-08,4.37816867184088e-08,5.04103279764508e-08,3.2439064868838e-09,1.05128979029054e-08
"HMDB0000115",8.13534099313533e-07,1.00005017270082e-06,7.45346888943673e-07,2.70033635627991e-07,1.11402800511423e-07
"HMDB0000118",5.50216359091048e-07,6.90835198482507e-09,9.65022026327587e-09,-0.999999994582981,-0.999999856230956
"HMDB0000119",1.88694439653295e-08,8.36885514589569e-07,4.02102362498559e-07,2.61239110995853e-07,1.47177994734915e-07
"HMDB0000121",1.96249148755801e-06,5.170008471687e-06,1.13123003792883e-05,3.11227943027606e-06,2.59800798175623e-06
"HMDB0000122",-0.918550177663742,-0.990295738643978,-0.866689062850102,-0.98381724513251,-0.962161665492811
"HMDB0000123",0.431574054253406,0.339910837596953,0.405483917222428,0.241517538152313,0.286055017709645
"HMDB0000125",-0.999999730030148,-0.99999965919195,-0.999999226649793,-0.999997826402877,1.66962233332358e-06
"HMDB0000126",-0.948804749857984,0.0131248310181176,0.0271789473613937,-0.946888443580284,-0.9906811547864
"HMDB0000127",8.25262539603202e-05,0.000169518646260823,0.000157398783089032,5.72732835977535e-05,0.000227127642759777
"HMDB0000128",-0.99991325093934,0.000176578977901913,0.00128105433560203,0.0023579748263552,0.00196651452462687
"HMDB0000130",-0.999999996621074,-0.999999997887895,-0.999999993575786,-0.999999994498014,-0.999999994205817
"HMDB0000131",-1.96791207913344,-0.97699120211797,-0.990322750140431,-0.989236330938839,-1.99762580343562
"HMDB0000132",-0.999999998735997,3.74846673424665e-09,1.56358446352688e-09,1.28897097208889e-09,4.80288536021257e-10
"HMDB0000133",2.35760189887726e-06,2.044455474305e-05,-0.999959643317745,9.39983916441265e-06,2.78199930838111e-06
"HMDB0000134",-0.96799494376526,0.0228382597081607,0.00951895489168854,0.0107055612574943,-0.997853822121653
"HMDB0000138",3.95569141445455e-07,1.08158362202151e-08,3.09710946259162e-08,4.285054223638e-07,7.24650870480812e-07
"HMDB0000139",0.0022136849945929,0.00133460318252734,0.000708033846821196,0.00497162982143621,0.00138906703370577
"HMDB0000142",4.10889437089436e-06,5.44377160518159e-06,-0.999965090704396,5.57200267800153e-06,-0.999999442084449
"HMDB0000143",8.23973607548777e-06,2.13176324804391e-05,3.64401987710876e-05,1.42607134192824e-05,5.12619283478353e-06
"HMDB0000145",2.76255567561557e-06,4.40325779921581e-06,6.91090025328398e-06,2.35227658471393e-06,9.67267585226056e-07
"HMDB0000148",0.00303770908135426,0.00252301574051701,-0.99927698439395,0.00813458019854884,0.0047175940715245
"HMDB0000149",-0.99998847190836,3.42194051259943e-06,-0.999981572525063,-0.999998967690115,4.25322294063074e-06
"HMDB0000151",-0.999998558830161,-0.999996008063836,-0.999994305067507,-0.999996858992719,-0.999998548658144
"HMDB0000152",2.5523181565992e-09,4.39949577668758e-10,4.5839020015273e-09,4.70928003906923e-09,3.93461069959114e-09
"HMDB0000153",-0.999998779930368,-0.999999874104148,-0.99999909576602,9.20462946969584e-07,5.67703915067089e-07
"HMDB0000156",0.0709215030333684,-0.986335555184907,0.00877027189947104,-0.966476910417404,-0.943417953409954
"HMDB0000157",-0.999999993121848,-0.999999982418019,-0.999999974562188,-0.999999992886716,-0.99999999545539
"HMDB0000158",-0.991509314487742,-0.994837666665527,-0.991272990062269,-0.996662203537963,-0.992322480735844
"HMDB0000159",-1.99587493436111,0.00204285522543835,-1.9947564613751,0.00446570660074591,-0.999063476561773
"HMDB0000161",0.00777677829861188,0.0273779272683173,0.00227489871733745,0.0299311738560518,0.0204039008074883
"HMDB0000162",-0.996320720304062,-0.967752728697789,-0.960502596170608,-0.910557217441848,-0.961469585512185
"HMDB0000163",7.1399529476244e-09,6.13871438934133e-09,9.01337080252234e-09,5.80853944600592e-09,7.28531747080696e-10
"HMDB0000164",-0.999999998261202,-0.999999998966425,-0.999999996210546,6.91716994880264e-10,-0.999999999481019
"HMDB0000167",-0.991166120668372,-0.958602916680034,-0.991353744746597,-0.982202103564706,-0.963834796714985
"HMDB0000168",-0.998760676457345,0.00165192577849373,-0.996942617532423,0.00384269112521408,-0.999114184470763
"HMDB0000169",-0.999989023958288,-0.999987657034772,-0.999939433643509,-0.999986211632571,-0.999992346379176
"HMDB0000172",-0.997380781935966,-0.999032707363887,-0.996899891791572,-0.997010368267853,-0.99861451031494
"HMDB0000174",1.02707702389366e-06,3.70086406488525e-06,4.58537810181097e-06,1.31759201575309e-06,2.19536894954493e-06
"HMDB0000175",3.44209640624522e-05,-0.999889978137316,0.000183286013100074,-0.999863005076632,-0.998604989880441
"HMDB0000177",-0.973275154187222,0.00205762802847033,0.00407412598412457,0.0049856790407985,-0.998745788261989
"HMDB0000181",-0.994193288486529,-0.998253433137295,-0.999734954253202,0.00690154516571941,0.00414972666915255
"HMDB0000182",-0.989888949782558,-0.992712331144324,-0.999794144805353,-0.982275001923209,-0.988223387984196
"HMDB0000186",-0.991448628665599,-0.974009287344455,0.0153541801888667,0.00510324117516841,0.00975397244842168
"HMDB0000187",-0.996421068185666,-0.999851372389043,-0.993429760837484,0.00363760582157725,-0.995475487160419
"HMDB0000189",-0.999993835175991,-0.999995253654608,-0.999981864198587,-0.999985489697823,-0.999998294289541
"HMDB0000190",-1.98717363337102,0.0165795224394282,-1.95135578194607,-0.974532088262586,0.0198360279487291
"HMDB0000191",0.00517851746375558,0.0114825291174514,0.000682379927649098,0.0249652097652865,0.000697334213729103
"HMDB0000192",-0.998968168832189,-0.998762566706101,-0.999641713556806,-0.996894921355996,-0.996634901957389
"HMDB0000193",0.0710265087748116,-0.976588950688948,0.000384438065194491,-0.998530868252335,0.0259702606919683
"HMDB0000195",-0.999958608393312,-0.999969079948185,-0.999618277769511,0.000129502497226688,0.000858634001340848
"HMDB0000197",-1.98614544179058,-1.98218311610095,-1.95099984578849,-1.97143950652214,-1.97679920573124
"HMDB0000201",0.0009409185365915,0.00101048070142769,0.000399081110042254,0.00135034956333875,6.45026917544738e-05
"HMDB0000202",0.000149131954746094,0.000141295188034173,-0.999975546028713,-0.999995711805523,-0.999979005711067
"HMDB0000205",0.00142121255484907,-0.998755205569944,0.00274114149392972,0.000703305952416605,-0.996477368546139
"HMDB0000207",0.0328641827226959,0.052140899731511,0.0657157293933673,0.0422546606798469,0.0230174650373412
"HMDB0000209",-0.99999524192459,-0.999995437132174,-0.999989096592034,-0.999990969387057,-0.999999048154561
"HMDB0000210",0.00018870385240613,6.36896242294254e-05,0.000124125093075269,7.64751020123889e-05,0.00074770952227454
"HMDB0000211",-0.998778141800025,-0.998693493091781,4.42358048096548e-08,-0.997874143507414,-0.998058861409382
"HMDB0000212",-0.999995919749949,-0.999998166051088,-0.999994838806311,-0.999997727242229,-0.999998344420177
"HMDB0000214",-0.985723408887903,-0.993729400200929,-0.99878900082396,-0.984928510190022,-0.938476931548091
"HMDB0000215",-0.999999744101254,1.98907383669346e-07,3.78266430096902e-07,-0.999999777417264,5.83168608248435e-07
"HMDB0000216",3.37019646673112e-08,4.51699726491849e-08,7.63329826620284e-08,7.33867594582408e-08,1.45886960121093e-08
"HMDB0000217",-0.999995874208912,-0.999995820034619,-0.999999997707679,-0.999993825767214,-0.99999100690815
"HMDB0000220",0.024241611539493,0.0390816647562597,0.0473017303227178,0.0294158596986295,0.0138863568191222
"HMDB0000222",0.000552281639183948,0.00184821034661492,-0.999252032974215,-0.998708513616614,0.000446858342549891
"HMDB0000223",-0.952849175229279,0.0136367351419549,-0.987625012158175,0.0312892387724973,0.0639187576031981
"HMDB0000226",-0.999999962881724,4.49535385275076e-05,3.34312111185441e-05,2.74111086960185e-05,1.9768908224538e-05
"HMDB0000230",-0.999999993872059,-0.999999666249118,-0.999999502432947,1.51025392555537e-07,8.23024456990745e-07
"HMDB0000234",-1.99999999207547,-1.99999660153435,-0.999999925669632,-0.999998517247541,-1.99999926589614
"HMDB0000235",4.86466015200902e-07,-0.999998358475433,-0.999999056708601,1.68088868756902e-06,8.44886524531535e-07
"HMDB0000237",8.26072739871413e-05,0.0003458022972541,2.16806717118679e-05,0.00012208982829835,0.00184869494167932
"HMDB0000239",-0.98708074984782,-0.999402437742678,-0.994016872052769,-0.996260048736296,2.4376295598003e-09
"HMDB0000240",0.0123533299041523,-0.98599532672024,0.00670026384088779,-0.986651334923903,0.0117365650447571
"HMDB0000241",6.84362508959143e-07,2.99927234486379e-06,9.72489229591107e-09,1.12238615727198e-09,-0.999999897252464
"HMDB0000243",0.0143895296786667,0.0100683489833045,0.0350391520939098,0.0226135470688778,-0.995993636345276
"HMDB0000244",-0.999984924569505,-0.999985569290668,-0.999955378112061,-0.99997411091547,-0.999985604311376
"HMDB0000246",-0.999999764425575,2.06018845541031e-06,-0.999999113005659,5.29956289949277e-06,-0.999996983581214
"HMDB0000247",0.0771768296243808,0.000744202776832099,-0.995277019033432,-0.998693697467886,0.0142764272975057
"HMDB0000248",-0.999999996502503,-0.999999991593523,-0.999999986237246,-0.999999991041553,-0.999999995461058
"HMDB0000250",-0.942140125296646,-0.96138579404263,0.0340041593777267,0.0387556127755219,-0.969091776223351
"HMDB0000251",0.000142973868919689,3.21691898374413e-05,4.92441984953404e-05,6.96140532734281e-06,0.000267309728211051
"HMDB0000252",-0.996396180066014,-0.99292414566074,0.00258991181446621,0.0108405417931497,0.0101418608847448
"HMDB0000253",3.08186091223246e-09,5.46228406585944e-08,9.35828076158641e-09,2.45806118866885e-08,1.94628452641771e-08
"HMDB0000254",3.48547158509328e-08,4.30287412742564e-08,5.47117036148187e-08,2.15505532205468e-08,3.61547008560576e-08
"HMDB0000256",-0.999999993360948,-0.999999976558457,-0.999999991754832,9.33576532458984e-09,-0.999999982109141
"HMDB0000257",9.59371980800889e-07,1.64222597393451e-06,-0.999998723713388,1.68587917889285e-06,-0.999998871911156
"HMDB0000258",-0.999999999132164,-0.999999998347711,-0.999999999119332,-0.999999999713559,-0.999999997048995
"HMDB0000259",-0.99999999114625,-0.999999990017032,-0.999999976647163,-0.999999996100784,-0.999999993895372
"HMDB0000262",1.68909532272162e-09,2.12600143287414e-09,3.80386636443942e-09,2.62610335350762e-09,9.54429093616638e-10
"HMDB0000263",0.000760255942811689,0.0171369904494473,-0.977844744969781,0.0498894281520686,-0.975694710980617
"HMDB0000265",-0.999999989764614,-0.999999978204425,-0.999999941503423,-0.999999977114114,-0.999999990530642
"HMDB0000267",1.09193023783892e-06,3.39741652289851e-06,7.00690963503099e-06,4.01800262465313e-06,1.64861168322615e-06
"HMDB0000269",-0.992598312903521,0.0011056435154891,0.00131590866562489,-0.984007582381752,0.0312150820545312
"HMDB0000271",-0.999999995570732,-0.999999987569607,-0.999999977813694,-0.999999992368895,-0.999999991597357
"HMDB0000272",-0.999994467642762,0.00113779851389808,-0.999983048818292,-0.990081007258878,0.0152691087409628
"HMDB0000273",-0.99997334405875,4.39677282176833e-05,4.53386933274929e-05,1.6076893486459e-05,0.000557025426157927
"HMDB0000277",0.00819406658387422,0.00940609889463997,-0.997437662490816,-0.998696502354339,-0.974508451436748
"HMDB0000279",4.11298041913435e-08,8.39383731693653e-08,1.44144514460461e-07,4.74832918610256e-08,2.4082754631055e-08
"HMDB0000283",0.00152549588004176,0.000429958289907187,-0.99865093350781,0.00204520152507393,-0.999838868752163
"HMDB0000285",6.44012981802857e-05,-0.99961920617344,0.00171286397706682,-0.997283334541907,0.000559355254391111
"HMDB0000288",0.00105357910945053,-0.999997867798889,-0.998419421665755,0.00186624601544628,0.00144061701079262
"HMDB0000289",0.000739753320024091,0.00128314007793742,-0.997914871393098,0.00333444492945487,5.02526682649793e-05
"HMDB0000291",-0.999999968975128,8.34333262385768e-09,1.3052430833592e-08,-0.999997890078144,-0.999999780551581
"HMDB0000292",-0.999999806644633,-0.999974830712027,-0.999979584644245,-0.999989972018278,7.67479436053031e-06
"HMDB0000293",-0.999999132688265,3.17153829311433e-06,-0.999995394959465,-0.999993023684043,3.1862381804143e-06
"HMDB0000294",-0.999378369556475,-0.998836502769899,0.00215579288846706,-0.996806491445662,-0.999949082379293
"HMDB0000295",5.58191565695469e-05,1.56659438963162e-05,0.000243722470543537,-0.999991028784151,-0.999975120457529
"HMDB0000296",-0.998421986594416,-0.996120349880779,0.00239641026478624,-0.998833036381474,0.00180952518441752
"HMDB0000299",-0.999998768513059,-0.999989740762076,8.5150326969885e-06,-0.999995980664703,-0.999998156172941
"HMDB0000300",1.85609050952219e-08,3.27001173550666e-08,6.34830626533775e-08,2.56207481771851e-08,1.19796363550337e-08
"HMDB0000301",1.08781478050691e-08,9.58879484758857e-09,2.91499919465516e-08,8.90755315910788e-09,7.62916206655012e-09
"HMDB0000302",4.66502525753941e-06,1.14566035940078e-05,1.7728068904815e-05,7.23372904214766e-06,4.54324887073679e-06
"HMDB0000303",-0.999999999162281,-0.999999999955917,-0.999999998978542,2.60795048767924e-10,-0.999999999988612
"HMDB0000305",-0.999999807968913,2.98046042937783e-07,-0.99999888914579,2.59736767022966e-07,7.46204700103375e-10
"HMDB0000306",1.03458797662936e-09,1.65378575863447e-09,-0.999999997563311,1.54383576539185e-09,-0.999999997534529
"HMDB0000321",-0.993524068800395,0.00420411444847278,-0.982765335686901,0.0164418698268903,0.0613110306131623
"HMDB0000343",3.80458623582391e-07,-0.999999660248765,1.1026704918432e-06,2.19037476255106e-06,-0.999995908596608
"HMDB0000347",-0.999998779930368,-0.999999874104148,-0.99999909576602,9.20462946969584e-07,5.67703915067089e-07
"HMDB0000362",-0.960024052547487,-0.973982842286754,0.043735473354112,-0.931168911359219,0.032848507516103
"HMDB0000363",2.56765554530289e-09,1.80898884792474e-08,6.52097997838035e-09,9.74856788458166e-09,5.9828842818373e-09
"HMDB0000364",-1.99999999404727,-1.99999998956459,-1.99999998097034,-1.99999999390126,-1.99999999779864
"HMDB0000374",3.55849793380928e-09,2.97675103235424e-08,9.32769300448434e-09,1.47341395126544e-08,7.99182203133332e-09
"HMDB0000379",0.000135686821502553,0.000859876632054067,1.63007372694941e-05,0.00034991850874125,0.000661261101401444
"HMDB0000380",0.000135686821502553,0.000859876632054067,1.63007372694941e-05,0.00034991850874125,0.000661261101401444
"HMDB0000415",-1.99999999404727,-1.99999998956459,-1.99999998097034,-1.99999999390126,-1.99999999779864
"HMDB0000428",-0.999996008107899,1.37988599387916e-06,1.7444352792503e-06,-0.999998585927756,5.41026954251896e-07
"HMDB0000448",-0.999997136851199,1.32551897084479e-05,-0.999997684424764,1.89726959957265e-05,-0.999995275596703
"HMDB0000453",2.66474772755369e-05,1.60734988614579e-05,1.06786167657811e-05,2.2131121126722e-05,4.69252074738091e-05
"HMDB0000462",-0.999998404801954,-0.999998933076464,-0.999999013512374,7.1579323018445e-07,-0.999998953629216
"HMDB0000464",1.64070908785744e-10,4.95918788584935e-10,3.03690118533827e-10,1.37255234564067e-10,-0.999999999873774
"HMDB0000467",-0.999999995437238,-0.999999990603896,-0.999999985534613,-0.999999995965381,-0.999999998939737
"HMDB0000479",0.0259543202271372,-0.99872875286433,-0.994030535179737,-0.997098341407579,0.000709515379919356
"HMDB0000482",-0.999999973365768,5.2006177388697e-08,-0.999999886052725,1.3172782963645e-07,-0.999999640466089
"HMDB0000490",-0.999999990948376,-0.999999982208066,-0.999999967120414,-0.999999986913619,-0.999999993628942
"HMDB0000492",-0.999999992549788,-0.999999975953014,-0.999999970580479,-0.999999993665022,-0.999999999009134
"HMDB0000499",1.16759045595203e-05,2.04158603146348e-05,2.9893504538495e-05,1.53309404933759e-05,6.75919141619422e-06
"HMDB0000500",5.45890083521055e-06,8.95367515601924e-06,1.5339076408272e-05,2.93039980556439e-06,-0.999999980326207
"HMDB0000506",9.80085046576686e-10,2.0234185143958e-09,2.12016736026062e-09,1.26432329301389e-09,8.35463605220817e-10
"HMDB0000508",-0.998476058900226,-0.999570480364824,0.00135044316434945,-0.997956881696431,0.000161295512274722
"HMDB0000510",-0.999999991151738,3.52116825178002e-09,8.04015653933478e-09,-0.999999995165351,2.58247034190807e-09
"HMDB0000511",8.86471523151695e-08,2.13512819607648e-07,6.21946437561395e-07,-0.999999945659841,1.4489378685793e-08
"HMDB0000513",8.86471523151695e-08,2.13512819607648e-07,6.21946437561395e-07,-0.999999945659841,1.4489378685793e-08
"HMDB0000517",-0.996208451424582,-0.999014155367574,-0.992422516238411,-0.998113305990141,-0.996399952948611
"HMDB0000518",-0.999999994485037,-0.999999987951244,-0.999999982580993,-0.999999996250286,-0.999999997024236
"HMDB0000521",1.16759045595203e-05,2.04158603146348e-05,2.9893504538495e-05,1.53309404933759e-05,6.75919141619422e-06
"HMDB0000525",2.66474772755369e-05,1.60734988614579e-05,1.06786167657811e-05,2.2131121126722e-05,4.69252074738091e-05
"HMDB0000532",0.00655934524788706,0.0143002741871837,0.0265627438946486,0.0158882718789631,0.0447285333802407
"HMDB0000535",5.76297496686545e-06,1.96899599469145e-06,1.61235865046741e-05,9.04796552768889e-06,-0.999981447260998
"HMDB0000538",0.0108088383093648,0.0366709792492049,-0.972322090706288,0.0151165039891792,-0.994891884988831
"HMDB0000554",3.14521553980389e-09,1.62595519783354e-08,8.8428455294692e-09,8.37349684133114e-09,4.79767856025941e-09
"HMDB0000557",-0.997380781935966,-0.999032707363887,-0.996899891791572,-0.997010368267853,-0.99861451031494
"HMDB0000561",-0.999999998647724,-0.999999999232889,-0.999999997598788,-0.999999999429608,-0.999999999783298
"HMDB0000562",4.96408273134273e-10,-0.999999995187439,-0.999999995296016,2.86359963834899e-09,2.80914699213212e-10
"HMDB0000568",-0.943886230063423,0.0313981485850398,-0.985501196922414,0.0703874704459653,-0.942604269837525
"HMDB0000570",7.81925476231089e-07,-0.99999707133062,2.23038655787041e-06,-0.999997658483631,4.0959253990738e-07
"HMDB0000573",4.98685342104924e-06,1.12630310153562e-05,1.31094808250804e-05,8.94849097369115e-06,-0.999966317283523
"HMDB0000574",0.00631349659300521,-0.985466487518242,0.0035332720667266,0.00102486019937807,0.0176242749434381
"HMDB0000577",1.18062079323174e-09,1.93965745653394e-09,3.16237195728419e-09,9.28586984772753e-10,5.97223107720252e-10
"HMDB0000586",2.899412469071e-10,7.26828445787211e-10,-0.999999999912575,7.64144856047984e-11,1.9356419492457e-10
"HMDB0000588",1.46153654132727e-10,2.02407127327279e-09,1.90173362469916e-09,4.20368047920756e-09,-0.999999999208568
"HMDB0000595",-0.995117324854025,-0.99162438973079,0.00243449114318659,-0.981184215084864,0.0714735813636611
"HMDB0000608",-0.999996795627871,-0.999996667843561,1.14985905437803e-07,-0.999999177319132,-0.999999828583164
"HMDB0000619",-0.999999998326679,1.01915623889539e-08,3.18714347798515e-08,8.79967780140277e-09,-0.999999997698985
"HMDB0000620",-0.999994999843676,1.40654455759803e-06,2.05818906008923e-06,-0.999998160136283,7.45907908476001e-07
"HMDB0000621",1.27426863941442e-10,1.60469030702833e-10,-0.999999999233987,-0.999999996713739,1.54946734209473e-10
"HMDB0000622",2.40345924437465e-05,2.19135101825109e-05,9.20344648108542e-06,4.86637588186462e-05,7.73689650018914e-05
"HMDB0000623",2.20559888854214e-05,4.47146622306384e-05,-0.999999329142454,3.03444553563298e-05,-0.999997421996989
"HMDB0000625",0.0228515164352368,0.0532350366152084,0.115081332938276,0.111261662086917,0.0925584690341114
"HMDB0000630",1.60421183650487e-08,3.19399544221996e-08,5.81750758349519e-08,2.54839297396405e-08,1.14085107819134e-08
"HMDB0000631",-0.971658824731491,0.0630289360604571,-0.985508316678224,-0.94180485230792,0.0354634172891211
"HMDB0000637",-0.999999994408293,1.831780480051e-09,7.15356781926137e-09,-0.99999999362404,-0.999999995959576
"HMDB0000638",-0.999934973266474,2.76259964298179e-06,1.95821061288599e-05,-0.999931932432756,-0.999917922955745
"HMDB0000641",-0.997277340373705,-0.998205991815625,-0.99303672076209,0.00310318978324401,-0.994953021495447
"HMDB0000643",4.47607897025254e-05,5.96003252336085e-05,7.75022244614823e-05,4.13127277909108e-05,3.54017712110561e-08
"HMDB0000646",-0.999999785351959,-0.999999836947329,-0.999999806964497,-0.999999709961879,-0.99999954577984
