"","Macrophages","T cells"
"HMDB0000002",-0.999999992040407,-0.999999988412039
"HMDB0000005",5.29686838954064e-09,-0.999999998439988
"HMDB0000008",-0.988002995458192,2.33615329181107e-10
"HMDB0000010",2.66004862386255e-07,2.61006542618753e-08
"HMDB0000012",2.1149722903455e-05,3.67362817142266e-08
"HMDB0000014",-0.999988339806843,-0.999999973078965
"HMDB0000015",1.11270011760452e-07,2.67400627674555e-09
"HMDB0000016",1.23288752219536e-07,4.4392448014985e-09
"HMDB0000017",6.38434666126116e-08,-0.999999987256128
"HMDB0000020",9.36091822679693e-09,-0.999999989967054
"HMDB0000021",-0.999999988762532,-0.99999998460413
"HMDB0000022",-0.999991055627481,2.76842185553838e-05
"HMDB0000023",-0.999998958938237,2.8519721789962e-08
"HMDB0000026",2.23094128340673e-06,-0.999996047740075
"HMDB0000027",1.46161716651013e-05,1.58257537348445e-07
"HMDB0000030",5.58298477833324e-07,3.24952987411371e-08
"HMDB0000031",-0.999999810487434,4.25480613329278e-09
"HMDB0000032",0.0280275064066532,-0.999106309680913
"HMDB0000033",3.50279155395317e-06,3.97888415623272e-09
"HMDB0000034",-0.996992799358679,0.0173650526818019
"HMDB0000036",6.56076728421607e-07,3.9301735128971e-06
"HMDB0000037",1.05952124553712e-09,-0.99999998833985
"HMDB0000038",1.81543133831458e-05,-1.99999997578967
"HMDB0000039",-0.999999908868306,-0.999999918072439
"HMDB0000042",0.0435427192947556,-0.987723637002353
"HMDB0000043",2.86173733013236e-09,-0.999999970504168
"HMDB0000044",0.000537898764450652,-0.996241325281392
"HMDB0000045",0.00276257626661005,-0.971008679698874
"HMDB0000050",-0.996813189669546,-0.989137115665242
"HMDB0000051",0.959492663081813,0.232062690166375
"HMDB0000052",0.0016983011155301,0.00370208386370845
"HMDB0000053",4.87010127681743e-06,4.29475671143497e-09
"HMDB0000054",-0.999999055557839,-0.99999870185768
"HMDB0000056",-0.999997911275941,-0.999999990220559
"HMDB0000058",1.32059161098833e-05,1.5642298319153e-08
"HMDB0000060",0.000100050294521857,-0.999536530652909
"HMDB0000062",-0.997664745921481,-0.999127248152525
"HMDB0000063",-0.999998736171079,0.000775126752072487
"HMDB0000064",-0.999999960357485,3.42772375976872e-09
"HMDB0000067",0.0629791560264158,2.65214798531795e-05
"HMDB0000068",1.41598961508538e-07,-0.9999997648192
"HMDB0000071",2.73255511773528e-06,-0.999999996401515
"HMDB0000072",-0.99999994337254,1.87096187572603e-08
"HMDB0000073",1.98342437396945e-07,-0.999999843527366
"HMDB0000076",-0.999998045675538,3.81762425625831e-06
"HMDB0000077",0.000385579310290503,-0.999620928464267
"HMDB0000078",-0.999998418401576,1.17427031630963e-05
"HMDB0000079",-0.999999995813996,6.09463435459323e-09
"HMDB0000082",2.6373388886936e-05,1.82409736493842e-07
"HMDB0000085",-0.999999810230254,-0.999999976715346
"HMDB0000089",-0.999978119433476,-0.999998873419035
"HMDB0000092",-0.999999999243411,8.85246760950438e-08
"HMDB0000094",-0.900462927649824,4.09996059001917e-06
"HMDB0000095",3.09928257997411e-05,5.70218253819772e-06
"HMDB0000097",0.0169311055722853,0.00830102123353556
"HMDB0000098",6.66045724514805e-07,-0.999999946350083
"HMDB0000099",1.19946124551744e-09,1.69939079066125e-08
"HMDB0000101",4.20696093875125e-06,-0.999999957949289
"HMDB0000107",2.21935762925625e-09,-0.999999998789855
"HMDB0000108",-0.999992815768281,1.5908491512256e-05
"HMDB0000112",6.31880927977497e-08,3.96533583709774e-09
"HMDB0000115",3.59819387548354e-06,1.51358319198617e-06
"HMDB0000118",-0.999999092690636,8.75103538732197e-08
"HMDB0000119",2.865171426211e-06,-0.999999973280551
"HMDB0000121",3.49116183969739e-07,-0.99999999254877
"HMDB0000122",-0.995926644413928,-0.853319245996073
"HMDB0000123",0.391624103594137,0.275284140896011
"HMDB0000125",-0.999993855058449,1.99512219224235e-05
"HMDB0000126",0.0244644389696834,-0.831193928040225
"HMDB0000127",0.000181734576156051,0.00102146383215749
"HMDB0000128",0.00187217546959907,-0.999999934541422
"HMDB0000130",-0.999999971799487,-0.999999991847329
"HMDB0000131",-1.99103055689279,-2.99519369630807
"HMDB0000132",-0.999999974813127,9.52097117850179e-09
"HMDB0000133",9.52183502772019e-06,-0.999995164320018
"HMDB0000134",0.00878348053768241,-0.996215213093121
"HMDB0000138",6.4824259698864e-07,3.94114589625292e-06
"HMDB0000139",0.00748446134403584,0.00465257654715244
"HMDB0000142",3.74412001284721e-05,-0.9999978457649
"HMDB0000143",-0.999982195675399,-0.999996583673324
"HMDB0000145",1.2906764314537e-05,-0.999999942634718
"HMDB0000148",0.0118057459455244,0.00465660700079816
"HMDB0000149",0.000873328452819879,-0.999349293361619
"HMDB0000151",-0.999988123129888,1.14732826966607e-05
"HMDB0000152",2.31618910394476e-08,2.73819385389876e-09
"HMDB0000153",-0.999998978181724,-0.999988221279462
"HMDB0000156",-0.997582280998904,0.0326059420285041
"HMDB0000157",-0.999999935713159,-0.999999992331568
"HMDB0000158",-0.996102962278762,-0.980161098118313
"HMDB0000159",0.0009590760788296,-1.97326805420842
"HMDB0000161",0.0130742600738307,0.0406088143521482
"HMDB0000162",-0.937898039721079,-0.903421070537058
"HMDB0000163",1.54392040888053e-09,-0.99999998917967
"HMDB0000164",-0.999999993761664,-0.99999998712411
"HMDB0000167",-0.952108743289911,-0.893710746548676
"HMDB0000168",5.8833019287959e-05,-0.996852465054343
"HMDB0000169",-0.999942903380918,1.89477197764631e-06
"HMDB0000172",-0.998809806895303,-0.998007687356017
"HMDB0000174",2.69051933300501e-06,-0.999991000653948
"HMDB0000175",0.000323125302417495,-0.997437442919575
"HMDB0000177",0.00128181560678347,-0.985451860495925
"HMDB0000181",0.00142412586053674,-0.998758829783456
"HMDB0000182",-0.993698028215375,-0.964872996128025
"HMDB0000186",-0.993805631971108,0.0394375400228394
"HMDB0000187",-0.998300546519184,-0.995312528021979
"HMDB0000189",-0.999952645824483,6.31531644600372e-08
"HMDB0000190",-0.957080595738422,-0.986305045781865
"HMDB0000191",-0.999927521508522,0.0275230902356053
"HMDB0000192",-0.994373464149466,4.67760264850397e-08
"HMDB0000193",0.0200606175771641,-0.976720220751758
"HMDB0000195",-0.999403832297671,0.00248534443637654
"HMDB0000197",-1.95145449797159,-1.98630626220142
"HMDB0000201",0.000465803684859986,-0.999999951517368
"HMDB0000202",1.80669709600834e-06,6.58528006508539e-08
"HMDB0000205",0.00112339357833328,0.00261822519543935
"HMDB0000207",0.110344780806166,0.0348750517493618
"HMDB0000209",-0.999978587087176,-0.999983634374147
"HMDB0000210",0.000182541726255257,0.00130204935157549
"HMDB0000211",-0.999953804562419,-0.999999952017392
"HMDB0000212",1.12595701042332e-05,-0.999997555738748
"HMDB0000214",0.00270198530986871,-0.999999853407994
"HMDB0000215",1.92633620917082e-07,-0.999998741140778
"HMDB0000216",2.83093033444929e-07,-0.999999614608337
"HMDB0000217",-0.999999990530688,-0.999999997465721
"HMDB0000220",0.0841012871925156,0.0275927349856053
"HMDB0000222",9.08402376992802e-05,-0.999999911271886
"HMDB0000223",0.0180687852248872,-0.904622730352889
"HMDB0000226",3.78302964622242e-05,2.02497927933369e-05
"HMDB0000230",-0.999999217876433,-0.999996347302439
"HMDB0000234",-0.999994865254505,-1.99999998749617
"HMDB0000235",5.58302135550242e-06,-0.999988877394712
"HMDB0000237",0.0056510149952986,-0.999999910574367
"HMDB0000239",-0.990204926372154,-0.999999996454537
"HMDB0000240",-0.999602879179039,0.00257087037663093
"HMDB0000241",2.14850951009648e-08,2.32417383733616e-08
"HMDB0000243",0.0389303290026062,0.0114540394624939
"HMDB0000244",0.000767433191535392,-0.999966698047534
"HMDB0000246",3.02721541623325e-06,-0.9999999586533
"HMDB0000247",-0.984329995342174,0.140711146895551
"HMDB0000248",-0.99999998168091,-0.999999992523894
"HMDB0000250",-0.998645549636317,0.0177766359781434
"HMDB0000251",0.000110739713462481,0.00017405716625069
"HMDB0000252",0.00380158007238309,0.00437215872419714
"HMDB0000253",1.21740752005567e-07,6.59792031101985e-09
"HMDB0000254",-0.999999912282047,2.81729078228592e-09
"HMDB0000256",5.329892984523e-08,4.08613727236076e-08
"HMDB0000257",-0.999999993751271,-0.999999999138752
"HMDB0000258",-0.999999998298988,2.72961093710637e-09
"HMDB0000259",-0.999999975072417,-0.999999961282912
"HMDB0000262",8.66110659300862e-10,-0.999999998217247
"HMDB0000263",0.00298047842595413,-0.979658224174443
"HMDB0000265",-0.999999994774524,-0.999999993440098
"HMDB0000267",1.51415970328436e-05,1.92839759458117e-08
"HMDB0000269",-0.999713387392445,0.00227976732019001
"HMDB0000271",-0.999999973973678,-0.999999987176703
"HMDB0000272",-0.999990002777078,5.7363030826364e-06
"HMDB0000273",1.05353892712617e-05,3.14738317869753e-09
"HMDB0000277",0.000679502502952763,-0.995703250818346
"HMDB0000279",9.97713253258642e-08,1.242896575811e-08
"HMDB0000283",1.98804277149455e-05,-0.999999969205203
"HMDB0000285",0.000156231081871686,0.00109625774447215
"HMDB0000288",0.000952069903028575,-0.991586272614507
"HMDB0000289",-0.999947169981895,0.000291659576363723
"HMDB0000291",-0.999999072639445,7.7559108906242e-08
"HMDB0000292",-0.999973528994344,-0.999978836813479
"HMDB0000293",-0.999976959155513,-0.999999975649376
"HMDB0000294",0.000883954925376563,-0.999710768080328
"HMDB0000295",-0.999872655596395,1.39085416018145e-05
"HMDB0000296",-0.998414763378195,0.0084057355543041
"HMDB0000299",1.02940556456393e-06,-0.999982821813891
"HMDB0000300",-0.999999999692739,-0.999999998410187
"HMDB0000301",8.00244149577273e-08,5.76738177841798e-08
"HMDB0000302",-0.999939179919947,-0.999985572286571
"HMDB0000303",1.17551630975573e-10,-0.999999995879997
"HMDB0000305",-0.999999999669162,2.81096233090202e-09
"HMDB0000306",-0.99999999711171,-0.999999989545877
"HMDB0000321",0.00117000793237613,-0.991903168714184
"HMDB0000343",2.25398451148529e-06,2.725948047668e-08
"HMDB0000347",-0.999998978181724,-0.999988221279462
"HMDB0000362",-0.999687215705171,0.00221233062903445
"HMDB0000363",2.80862116242216e-08,3.82393960449523e-09
"HMDB0000364",-1.99999995636454,-3.99999995659857
"HMDB0000374",8.13703739233295e-08,4.82813554603475e-09
"HMDB0000379",0.00242161075624386,3.23019808179195e-06
"HMDB0000380",0.00242161075624386,3.23019808179195e-06
"HMDB0000415",-1.99999995636454,-3.99999995659857
"HMDB0000428",2.0343351763073e-05,8.79936958966626e-08
"HMDB0000448",-0.999972988515313,-0.999999994014505
"HMDB0000453",9.62902475256977e-06,0.000520693830768261
"HMDB0000462",-0.999996653182658,-0.999985553628145
"HMDB0000464",2.73925492349498e-09,-0.999999997978087
"HMDB0000467",-0.999999974176569,-0.999999995123442
"HMDB0000479",-0.998335674661169,0.0121416756103983
"HMDB0000482",-0.999999642429814,5.80224804302658e-07
