"","Macrophages","T cells"
"HMDB0000002",1.85550706980537e-08,1.33176284771634e-09
"HMDB0000005",-0.999999998785979,-0.999999998070159
"HMDB0000008",-0.990849308005787,-0.999999995754181
"HMDB0000010",1.97228948088521e-06,1.58542889745298e-08
"HMDB0000012",3.29258500972868e-05,-0.999999983153167
"HMDB0000014",-0.999990353955841,-0.99999999172432
"HMDB0000015",8.91574478336075e-08,5.21833648304996e-08
"HMDB0000016",1.34259994719963e-07,6.84749680517613e-08
"HMDB0000017",5.51940650550066e-08,1.77124253201275e-08
"HMDB0000020",2.61630874583536e-09,-0.999999994492415
"HMDB0000021",-0.999999993985651,-0.999999989597627
"HMDB0000022",3.37991654973021e-06,9.30243468676616e-09
"HMDB0000023",9.88767383298942e-06,-0.999998428004278
"HMDB0000026",2.23595631483467e-05,9.04192894684854e-06
"HMDB0000027",8.14820454279387e-07,-0.999999883284436
"HMDB0000030",4.04219496268394e-07,2.88060993490422e-08
"HMDB0000031",-0.999999775237879,-0.999999926596977
"HMDB0000032",0.0195027523036082,-0.999309937399401
"HMDB0000033",-0.999998487547937,2.66075908068332e-06
"HMDB0000034",-0.997400694030135,0.0279275174972365
"HMDB0000036",-0.999999450938913,7.65912101317082e-06
"HMDB0000037",-0.999999988185102,-0.999999984495907
"HMDB0000038",7.39784015048307e-06,-1.99999994507659
"HMDB0000039",-0.99999970266143,-0.999999946083819
"HMDB0000042",0.0459266151570665,-0.994699741708771
"HMDB0000043",-0.999999998136794,-0.999999999284417
"HMDB0000044",-0.998731930741546,0.0136623750926463
"HMDB0000045",0.00106010933087133,-0.970986580488504
"HMDB0000050",-1.99755031866644,0.000497290688749658
"HMDB0000051",0.963607825413895,0.165928556878165
"HMDB0000052",0.00176725803538533,0.000905736037075526
"HMDB0000053",4.74810515576623e-06,2.16495088296163e-06
"HMDB0000054",-0.999999250059732,-0.999997042119789
"HMDB0000056",1.68758340949506e-06,5.21132295884407e-06
"HMDB0000058",2.24159206392536e-05,-0.999999991657222
"HMDB0000060",0.000202875689901173,2.4911875243611e-08
"HMDB0000062",-0.997551533465845,-0.999998668151018
"HMDB0000063",-0.999999977477806,-0.999999989821255
"HMDB0000064",1.68521738092096e-08,-0.999999994879947
"HMDB0000067",0.054589439242042,0.00386657310455648
"HMDB0000068",5.81752512108613e-08,6.51082391131328e-09
"HMDB0000071",-0.999615973074332,-0.9999705930841
"HMDB0000072",-0.999999971721198,1.44359993312333e-08
"HMDB0000073",1.86920371150663e-07,-0.999999964349101
"HMDB0000076",2.71663757591253e-05,-0.999990635103741
"HMDB0000077",0.000308357893258609,-0.999081402052957
"HMDB0000078",-0.999998019009389,-0.999998386292138
"HMDB0000079",-0.999999997977721,-0.999999997159463
"HMDB0000082",3.36435344635282e-05,0.000530800670341088
"HMDB0000085",-0.999998961779008,-0.999999975342422
"HMDB0000089",3.26991391374635e-05,0.000226341274821188
"HMDB0000092",5.58272934899847e-09,3.20022290932308e-08
"HMDB0000094",-0.908011569430049,-0.67926366373996
"HMDB0000095",7.67276154762136e-05,-0.999767332269299
"HMDB0000097",0.0246676454135693,0.0546974842442725
"HMDB0000098",-0.99999994421224,1.1974010435027e-07
"HMDB0000099",-0.999999994193472,1.31500479244948e-08
"HMDB0000101",-0.999078781477788,2.85715249125279e-05
"HMDB0000107",4.55720397667176e-09,-0.999999999625766
"HMDB0000108",6.91135122061507e-07,-0.999999986180342
"HMDB0000112",7.97393833965452e-08,3.28611465543111e-08
"HMDB0000115",-0.999999783511891,2.57363130372728e-06
"HMDB0000118",3.79613965221691e-07,2.04318000336314e-08
"HMDB0000119",1.64553672312402e-06,4.60892782046346e-08
"HMDB0000121",2.88660833879985e-06,-0.999999771572574
"HMDB0000122",-0.97882936895515,-0.846080826411168
"HMDB0000123",0.399307918578038,0.429884521540312
"HMDB0000125",-0.99999617764028,2.55512029248986e-05
"HMDB0000126",0.0134521509181556,-0.844576139882978
"HMDB0000127",0.000421865332624374,5.21135088181496e-06
"HMDB0000128",0.00130311536405773,-0.999999968571363
"HMDB0000130",7.24103910792844e-09,-0.999999920556316
"HMDB0000131",0.00866179443710047,-1.99905000249775
"HMDB0000132",-0.999999990271971,9.88368319860808e-10
"HMDB0000133",-0.999976016880667,0.000210441295344221
"HMDB0000134",0.00823935243069987,-0.99906182242735
"HMDB0000138",-0.999999448916528,7.67783164272422e-06
"HMDB0000139",0.00969053907751905,0.0211611314989649
"HMDB0000142",7.3057013600898e-06,8.80454927235329e-09
"HMDB0000143",1.46752840191076e-05,1.26902999862721e-05
"HMDB0000145",9.35513857657849e-06,3.12178587436412e-06
"HMDB0000148",-0.986045266085687,-0.978058669828579
"HMDB0000149",0.00127950837374607,-0.999042195393323
"HMDB0000151",-0.999993641478022,-0.999995293067569
"HMDB0000152",-0.999999997701236,5.48721356021807e-08
"HMDB0000153",-0.999997194447818,1.45954415927842e-06
"HMDB0000156",-0.996671795661636,0.067744402205995
"HMDB0000157",-0.999999941154717,1.0724448123623e-08
"HMDB0000158",-0.983751609629836,0.000175238737546387
"HMDB0000159",-0.993574498728715,-0.998706881982618
"HMDB0000161",0.0091643392591579,0.0801576289552621
"HMDB0000162",-0.920296926000268,-0.92265252817135
"HMDB0000163",7.39567020794229e-09,-0.999999962908325
"HMDB0000164",-0.999999998327869,-0.999999998912571
"HMDB0000167",-0.94237992068014,-0.942668144065361
"HMDB0000168",-0.996643272940175,-0.999814774246273
"HMDB0000169",-0.999949679429223,-0.999998977048574
"HMDB0000172",-0.996016767891162,0.000179075495201035
"HMDB0000174",4.03023733163777e-06,5.90166367113946e-06
"HMDB0000175",0.000101505272667224,-0.998015650392243
"HMDB0000177",0.000583988513011972,-0.96965633193168
"HMDB0000181",0.00154028904328295,-0.998863384058991
"HMDB0000182",-0.986988806770835,-0.981826781379338
"HMDB0000186",-0.997297330820317,0.029262236758719
"HMDB0000187",-0.992975735863362,0.00297693440112089
"HMDB0000189",-0.999939691505148,2.1611615437986e-05
"HMDB0000190",-1.95493562352764,-0.95007601798871
"HMDB0000191",0.0055839344645254,0.000616865237935776
"HMDB0000192",-0.995033467752535,4.63072720107661e-09
"HMDB0000193",0.0144816668007314,0.30950057395736
"HMDB0000195",-0.999717689438813,0.00207402450076398
"HMDB0000197",-2.94997054058036,0.0499240049347421
"HMDB0000201",0.000599879926078822,-0.999999937221895
"HMDB0000202",0.00010922189008412,-0.999225729090495
"HMDB0000205",0.00164326092691277,-0.999999995084953
"HMDB0000207",0.105607954480902,0.0108304399765078
"HMDB0000209",-0.999981020379491,-0.999993416799175
"HMDB0000210",0.000207966326617316,0.00202382616267784
"HMDB0000211",-0.999694410764992,1.41342481952384e-07
"HMDB0000212",4.18162645690778e-06,2.49050123634526e-07
"HMDB0000214",-0.994282790308441,-0.859653417945987
"HMDB0000215",-0.999999075896421,4.06574630974716e-09
"HMDB0000216",1.13734267154845e-07,-0.999999957015765
"HMDB0000217",-0.999999998208758,-0.999999988851361
"HMDB0000220",0.0810298207979879,0.00485792332212585
"HMDB0000222",6.08261096493957e-05,-0.999999905247131
"HMDB0000223",0.00980317861375396,-0.917938452246458
"HMDB0000226",1.70500606418947e-05,2.29506589791403e-05
"HMDB0000230",-0.999996151985772,7.53607202289829e-06
"HMDB0000234",-0.999994948464798,-0.999997706216854
"HMDB0000235",4.20741600794167e-06,-0.999996681416086
"HMDB0000237",0.0043592801803186,1.84162015648048e-08
"HMDB0000239",-0.999999964263257,-0.999999998710333
"HMDB0000240",0.00119144931749424,-0.986219017068537
"HMDB0000241",4.01629384066224e-08,-0.999999999527188
"HMDB0000243",0.0280934709154844,-0.999999882407792
"HMDB0000244",0.000175342608131258,2.08398668481778e-05
"HMDB0000246",4.39725754254027e-07,-0.999999996547385
"HMDB0000247",-0.989037674459456,0.149609257383634
"HMDB0000248",-0.999999967805961,-0.999999985281487
"HMDB0000250",-0.999435151289008,0.0253401541341108
"HMDB0000251",0.000106191175386045,0.000690420507320173
"HMDB0000252",0.00674541733856626,-0.999992269126471
"HMDB0000253",1.13586600341931e-07,7.01569419013431e-08
"HMDB0000254",-0.999999940403857,4.1897594659678e-08
"HMDB0000256",7.27156625490309e-08,-0.999999937509289
"HMDB0000257",2.82986389646134e-06,1.1319310013222e-08
"HMDB0000258",-0.999999990326004,-0.999999982909074
"HMDB0000259",-0.999999967211992,-0.999999970036362
"HMDB0000262",4.06621386774636e-10,-0.99999999989026
"HMDB0000263",0.00530825481605758,-0.938691453895164
"HMDB0000265",-0.999999856194836,-0.999999990541556
"HMDB0000267",2.29315898923374e-05,-0.999997888473834
"HMDB0000269",7.09512720031821e-05,-0.99999358243623
"HMDB0000271",-0.999999995697822,9.25012279361796e-09
"HMDB0000272",-0.999809293099098,0.0029403996783394
"HMDB0000273",-0.999993192073818,1.37014206080585e-08
"HMDB0000277",-0.999998444136652,-0.999999584260269
"HMDB0000279",1.31242332308192e-07,7.70434587448554e-09
"HMDB0000283",4.9134404187514e-05,-0.999999968154983
"HMDB0000285",0.00195993440455592,-0.978966365361459
"HMDB0000288",-0.998269965535294,0.0203471104433947
"HMDB0000289",0.000643157004525872,-0.992498001136221
"HMDB0000291",5.71478590455334e-07,2.59608229280905e-08
"HMDB0000292",-0.9999890275411,-0.999985721048478
"HMDB0000293",-0.999974908650974,1.38459637008015e-05
"HMDB0000294",0.001077145490868,0.00723391455379644
"HMDB0000295",-0.999992998832047,2.67284408097108e-05
"HMDB0000296",0.000131576920440429,5.13615798110334e-08
"HMDB0000299",-0.999990917827539,-0.999992866030269
"HMDB0000300",2.47771679621196e-08,4.81368544486326e-10
"HMDB0000301",3.71701221142644e-08,2.12549209903685e-08
"HMDB0000302",-0.999982655260155,-0.999966919962549
"HMDB0000303",-0.999999998692084,-0.999999995060529
