"","Endothelial cells","Fibroblasts","Macrophages","Myocytes","Neutrophils","NK cells","T cells"
"HMDB0000002",-0.999999999296596,2.69353706139423e-10,-0.999999999647761,2.63480790795401e-09,1.1811349834389e-09,-0.999999998420546,1.55078677204725e-09
"HMDB0000005",8.53741424986102e-10,1.05716629015812e-09,1.2922023940784e-09,4.91245014709669e-09,-0.999999996547327,4.10802920234958e-09,1.11898779901673e-08
"HMDB0000008",-0.99692726158805,-0.998024638257169,6.87800949880423e-10,4.07919578117543e-09,-0.999999994877437,3.60997270463292e-09,-0.998842911784081
"HMDB0000010",4.12647551150364e-07,1.7841483603635e-10,-0.999999888667505,4.28946041806828e-08,-0.99999999969137,-0.999999734953788,-0.999999255469264
"HMDB0000012",-0.999999979070012,0.000316834554223029,-0.999951576029574,-0.999999990130972,-0.999999992297218,6.21551246989276e-11,0.000185191572987529
"HMDB0000014",-0.999999988376435,-0.999997402745291,0.00040144050905161,-0.999999989998606,7.16255828316441e-10,-0.999999997089569,0.000103760495312978
"HMDB0000015",-0.999999997841422,5.95986224735576e-09,5.412614776298e-09,1.46461799216243e-09,-0.999999998006674,1.23578774397191e-08,3.17203294644842e-09
"HMDB0000016",-0.999999997222564,6.21150339264352e-09,9.06354888748134e-09,2.02718045275173e-09,-0.999999998490755,1.93327064423621e-08,4.27662801805161e-09
"HMDB0000017",-0.999999998873455,1.34443559864186e-08,4.13160544171622e-09,-0.999999998414199,-0.999999997517829,7.95416994720531e-09,5.06018944819149e-09
"HMDB0000020",3.66387405811261e-10,1.82536251281374e-09,3.25943369770787e-10,1.49399949856886e-09,2.13051393683802e-09,1.69232794606429e-09,2.51077706065288e-09
"HMDB0000021",-0.999999996215145,-0.999999995361777,7.23252654661539e-10,1.28856647347516e-09,2.14209891745003e-09,-0.999999999555755,-0.999999998068991
"HMDB0000022",2.28535771665634e-06,1.40087144881522e-07,-0.99999841596505,4.3712330844281e-06,9.1287764550477e-09,1.43777594026883e-06,1.33528238995351e-06
"HMDB0000023",9.74845794450613e-07,3.98980103388115e-07,1.00659738181151e-06,-0.999999614572276,-0.999999580529679,5.60353188737671e-07,4.96605264521593e-06
"HMDB0000026",1.22257418325932e-05,9.86255776378582e-06,8.09093197363192e-06,8.76284657465933e-06,2.67655440677794e-06,-0.9999999993986,4.849052149673e-05
"HMDB0000027",0.00609103133512839,3.08870598784361e-06,0.00729017168685076,2.48155066003382e-07,1.12303972757667e-07,-0.980142540570895,-0.999798593161508
"HMDB0000030",1.36550900086977e-07,6.80014867704503e-08,8.23925118887819e-08,1.65300953933105e-07,6.68914848720736e-08,1.28059895159957e-07,6.38727016916458e-07
"HMDB0000031",4.98921183446942e-11,-0.999999975517205,-0.999999984596236,-0.999999995923888,1.66308053247399e-08,-0.999999976404456,-0.999999982542242
"HMDB0000032",0.014284010878908,-0.996299694522862,0.0121013631951654,0.0154174399291709,0.00966922407380677,0.0207332734754207,0.0125917133073693
"HMDB0000033",-0.999999713971465,5.62097218846539e-07,3.69895903962882e-08,1.45046621019175e-08,-0.999999997781754,7.43912700804834e-07,3.70559874330277e-07
"HMDB0000034",0.0589936363745991,0.00311291799875877,0.0130537041971871,-0.998318144645092,-0.793674448861549,-0.996024599859607,0.00162321167098456
"HMDB0000036",-0.999999744774332,-0.999999277479467,-0.999999963075721,-0.999999272561996,2.67418209431398e-07,1.66948395874846e-08,3.9231829186947e-07
"HMDB0000037",9.1310274596324e-10,2.35185057075801e-09,-0.999999999258946,-0.999999998334986,-0.999999989921187,-0.999999997141451,-0.999999998396198
"HMDB0000038",-1.99391607211234,-0.99999784288184,-0.992718204740544,-1.99999996188297,-1.9999999739064,0.0198722054475479,0.000209697199571065
"HMDB0000039",-0.999999983653003,-0.999999958068189,-0.999999981177965,-0.999999951501359,-0.999999974042155,-0.999999978380172,-0.999999962455832
"HMDB0000042",0.0263932733114907,0.00437692526788147,0.00757749775440276,0.0063351285295538,0.00627146932560692,0.0245612481419985,0.00358040153232237
"HMDB0000043",-0.999999999362816,-0.99999999879866,1.57529881118079e-09,2.34200066985245e-09,1.38683121531866e-09,1.48840360358199e-09,-0.999999999550993
"HMDB0000044",-0.993419215874809,-0.991660570440245,0.00640829302561013,-0.994622216379165,-0.970415615790359,-0.996069590161914,0.00729826048258668
"HMDB0000045",-0.940109743403214,-0.997185462936822,-0.983582611116631,0.00112367809074767,0.207085559808928,-0.996794003665782,-0.998040940188285
"HMDB0000050",0.00369770849626923,-0.996066124330082,0.000756696534263365,0.000505331889416059,0.000921990291515393,0.00440254236942635,-1.99510142088847
"HMDB0000051",0.538832873432026,0.49287589769978,0.456221052773147,0.523387841372744,0.234493187715001,0.360177777370973,1
"HMDB0000052",1.8134681821311e-06,0.00115897190062131,8.52827619013374e-06,2.20962045211097e-08,0.000563258004121474,0.000901890403010344,0.00101648997588922
"HMDB0000053",-0.999999838715039,7.7258905642294e-09,5.69273857355908e-07,1.78416718225582e-07,-0.999999995873992,1.12656192628697e-06,9.78342477054344e-08
"HMDB0000054",-0.999999862455118,1.47724637410016e-07,-0.999999856628637,-0.999999506639026,3.62347523677164e-07,-0.999999855781069,-0.999999959834904
"HMDB0000056",7.97225276989747e-07,-0.999999704620718,-0.999999640945086,-0.99999999374468,-0.999999994812733,-0.99999931466812,-0.99999967805853
"HMDB0000058",3.00687978394212e-06,-0.999996990059337,2.01302234362684e-06,-0.999999313287664,1.07589874855241e-08,-0.999999994560917,1.539906745472e-05
"HMDB0000060",-0.999991047255865,-0.999958123767805,-0.999995480454072,3.46240778770947e-05,5.62720466194035e-06,3.88217788046275e-05,5.08569958322592e-05
"HMDB0000062",-0.999850246267026,-0.998304982592164,-0.998913029934429,-0.99964394749217,-0.999344355942536,-0.998104818725643,-0.999442550693017
"HMDB0000063",-0.99999999952965,-0.961527559944208,-0.999999994214269,-0.996558117908799,6.74222988271587e-09,0.0133588516403374,0.00784178420649655
"HMDB0000064",1.48656125272557e-09,-0.999999984652927,-0.999999997205238,9.5821877717718e-10,3.22081937105795e-09,-0.999999998953045,-0.999999999850445
"HMDB0000067",0.060046325182128,0.0539083320283415,0.0626597647293095,0.00484967577717975,0.000233524211057013,-0.999999399897817,0.0138545242106808
"HMDB0000068",-0.999999983927337,5.40764531876423e-08,1.88224885529398e-08,-0.999999990722856,-0.999999996172185,1.85176516066449e-08,2.85471647770838e-09
"HMDB0000071",-0.999999963156004,5.66784224011509e-07,7.63153268584468e-07,-0.99992953232987,-0.999999988343241,-0.99996915954418,-0.999736639987523
"HMDB0000072",1.81987300038538e-08,-0.99999999901984,-0.999999983788878,-0.999999982976701,-0.999999983921126,-0.9999999966079,8.65702001810854e-09
"HMDB0000073",1.32257303416011e-08,7.27639889934466e-08,2.77365811394944e-09,2.55554560764546e-08,1.48794654427346e-08,2.45379345612935e-08,2.55995546511597e-08
"HMDB0000076",0.000149608900204367,0.000292895418252884,-0.997030552945559,5.99313168099984e-06,-0.999997326485858,0.000222692447551696,0.000844427638006499
"HMDB0000077",-1.99947549081956,4.28314161907817e-05,-0.999355440338652,-0.999964343190646,-1.99993592061783,1.90994978264503e-05,0.00040301552040581
"HMDB0000078",2.95709682790699e-07,-0.999998926550485,2.65666148603807e-07,4.5400388656474e-07,2.47348176155328e-06,2.12532745658358e-06,1.52710994734924e-06
"HMDB0000079",3.41610867397293e-09,4.0519230459153e-10,1.853653361558e-09,2.36095296687221e-10,1.78056619932964e-09,7.75703955944384e-10,1.34387328136487e-08
"HMDB0000082",8.06330093708285e-05,-0.99977991577676,-0.99994225454411,0.000831092846188666,-0.999166891271799,-0.999999731758981,-0.999919115128361
"HMDB0000085",-0.999999998843331,7.23626229316379e-07,-0.999999980355624,7.512241693102e-09,6.90281660993965e-09,3.89470820095504e-09,-0.999996787314219
"HMDB0000089",0.000333077035871718,0.000321387221040114,0.000435770021470222,0.000120696471272534,0.000528296396765552,0.000874437365660017,-0.999464903916716
"HMDB0000092",3.15588997214958e-09,-0.999999998544961,-0.999999996374945,-0.999999994800189,-0.999999998949622,-0.999999995919582,2.80231078728102e-09
"HMDB0000094",-0.924092723790604,-0.939771398305833,-0.900129384695178,-0.999833026348279,-0.829671063860088,-0.973812779511026,-0.955036016910473
"HMDB0000095",8.81829015302454e-05,5.76990043019115e-05,9.17414639358277e-05,-0.999942866696175,0.000428190396564408,-0.999128121496485,2.45241800341619e-06
"HMDB0000097",0.00281704091125946,0.00507295563027054,0.00621958025586716,0.00768669307585166,0.00391464436086298,0.00217107215165724,0.00805743860125913
"HMDB0000098",3.50892369534276e-09,-0.999999999797588,-0.999999740347445,1.0713938655511e-08,8.26243790592235e-09,-0.99999998914803,-0.999999373117453
"HMDB0000099",2.22170787430308e-09,-0.999999993128391,-0.999999997936693,3.6423235998642e-09,-0.999999993487155,-0.999999998687112,1.01299135550532e-08
"HMDB0000101",3.91588844614821e-07,1.11423622910584e-05,5.48651884697114e-06,7.09018977873224e-05,1.56726281372088e-07,3.10704462099298e-05,-0.998267060959129
"HMDB0000107",8.2433121366696e-11,-0.999999998560215,1.12537697757302e-10,-0.999999998650159,1.66603383469816e-09,-0.999999999217935,2.7876902258027e-10
"HMDB0000108",-0.999999845149512,3.74620892094667e-06,8.15400287542718e-07,-0.999995415537158,2.16001850045296e-06,-0.999999262684922,-0.999995975067706
"HMDB0000112",5.00449967966079e-09,1.05382367966193e-08,1.07814838138273e-09,3.27037050073024e-09,1.39483801614229e-09,8.35907882423992e-09,3.95201208676451e-09
"HMDB0000115",7.65587501285789e-07,1.44369487920673e-06,2.5786185286095e-07,-0.999999652881236,9.89380050191946e-07,8.95817819342043e-08,-0.99999991465253
"HMDB0000118",5.64078609773424e-09,1.39113896405449e-09,-0.999999996983871,1.54758244509878e-09,5.90789772606654e-10,-0.999999999416543,1.76514618882759e-08
"HMDB0000119",-0.999999961793276,8.38750338740091e-07,1.30859714475946e-08,-0.999999998776126,-0.999999987320192,2.33140964195429e-10,6.35906818005899e-08
"HMDB0000121",1.71075640301011e-08,2.30831189280303e-08,2.68473631276757e-07,7.05981358374298e-09,9.03510706938353e-10,-0.999999996785034,5.31585985076016e-06
"HMDB0000122",-0.963762286638242,0.0180133410598863,-0.935159545996714,-0.964814783792255,-0.931951344891311,-0.945293622562064,0.00600613086987681
"HMDB0000123",0.396095553239084,0.24503734104871,0.214041126091683,0.230768674174209,0.11503522913143,0.140503817571769,0.322971525017058
"HMDB0000125",1.47218230225626e-06,-0.999995070331724,-0.999998636886913,-0.9999956513752,5.89306795279879e-07,-0.999992249195459,-0.999997445827065
"HMDB0000126",-0.997634412523087,-0.981699017514578,-0.954336696116856,-0.986164413905683,-0.919789093417128,-0.940012207385054,0.0370383828400829
"HMDB0000127",0.000252134942478935,9.25202483316082e-05,3.24957924334907e-05,1.42166365120938e-05,4.38317263636294e-06,9.280728918715e-07,7.72919901502443e-05
"HMDB0000128",0.00215761538333841,0.0109069597206588,0.00344151654147296,-0.999999999197013,-0.999999998460287,-0.999999998588349,0.00146370784637801
"HMDB0000130",1.90817867946575e-09,3.83349161892534e-09,4.20032309064588e-09,4.57232288778235e-09,-0.999999999614685,2.39881866527299e-09,-0.999999999120835
"HMDB0000131",-0.986393509173357,-0.994929015996548,0.00446082630835153,-0.996267364823695,-1.99035428798626,-0.985304624220354,-1.99268192724789
"HMDB0000132",3.16166272412211e-10,-0.99999999708599,1.85618536474238e-09,5.33957378886672e-09,-0.999999998785047,2.73110385088467e-09,-0.999999999997334
"HMDB0000133",-0.999999398082938,-0.999993273789009,3.44234252092317e-06,-0.999999053050009,-0.999999855175852,1.42538499675617e-06,1.72973156123908e-06
"HMDB0000134",0.013354133396468,0.00497833923640541,1.79049824347446e-08,0.00371722003068732,0.00963783455610225,0.014693930141426,-0.994232277340339
"HMDB0000138",-0.999999744887995,-0.999999275062148,-0.999999958632475,-0.999999271670738,2.75772384340563e-07,1.52184208740214e-08,3.91011395190737e-07
"HMDB0000139",0.0034947522607295,0.0021013977873467,0.00350910432706145,0.00427335234383653,0.00202153825894133,0.00731672643753104,0.000337918452177643
"HMDB0000142",2.43034674371547e-06,1.29002370804711e-06,3.20169583244251e-06,1.14269202397079e-06,-0.999999936646515,1.48263050245809e-08,6.04324496915265e-06
"HMDB0000143",3.57792892026506e-07,-0.9999986913011,2.52037260148124e-06,9.99732560303819e-07,2.97852876628925e-07,-0.999999447993395,1.39548566200646e-05
"HMDB0000145",-0.999999856475905,6.43078902137779e-06,2.31887921105207e-06,-0.999999635663615,-0.99999748322572,1.08243811916307e-06,1.62909211049136e-06
"HMDB0000148",-1.99642488456035,-0.994071232800727,-0.993985208766083,-0.994579204040906,0.00523974513841583,-0.992683256587023,-0.998854792469872
"HMDB0000149",5.36494291904204e-06,7.83255489635801e-06,3.2592070586086e-05,4.40784942100739e-05,-0.999938480524193,-0.999993365246878,2.44262808332862e-05
"HMDB0000151",8.14237658823138e-07,-0.99999404050835,-0.999997458505859,3.58977283543015e-07,2.4871371364537e-06,-0.999999573581889,-0.999998265582253
"HMDB0000152",-0.999999998615631,-0.999999997538514,-0.999999997021087,-0.99999999767717,3.607734990947e-10,-0.9999999989333,1.45876361340707e-09
"HMDB0000153",-0.999999377438913,-0.999999580688249,2.6290234885142e-07,5.54847020381024e-08,6.70282795119152e-08,-0.999999414014922,2.04133814783739e-07
"HMDB0000156",0.0891461501931959,-0.860118894061787,0.0228314230783574,-0.902088668458434,-0.948392891521156,0.027321727932527,0.0317049135931561
"HMDB0000157",-0.999999996018366,-0.999999991271135,-0.999999997358244,-0.999999996038889,1.37170356080057e-10,-0.999999997680986,-0.999999986473218
"HMDB0000158",-0.995194748086822,0.00109608489567164,-0.990192630708079,-0.987864271531608,-0.984903345414499,-0.995642273198679,-0.990900566437521
"HMDB0000159",-1.99293210590976,-0.998745966065259,-1.99400732504204,-1.98988046617308,-1.9825753680934,-0.994590125318218,-0.998100058290042
"HMDB0000161",0.00959039816660559,0.0598004683912268,0.0324224158202411,0.0137787042881303,0.045873564591111,0.0562571908100711,-0.99756731794471
"HMDB0000162",-0.983946087732483,-0.964112084231605,-0.936171336500839,-0.971201518943317,-0.995758043695282,0.000835979092970141,-0.963055482653547
"HMDB0000163",-0.999999998661646,-0.999999999603867,5.47431745874367e-10,5.24849743924992e-10,4.42590750129664e-09,-0.999999998649145,1.86362479862683e-08
"HMDB0000164",-0.999999999920468,-0.999999997422747,-0.999999998995242,-0.999999999621579,3.25289062924259e-09,-0.999999997516479,-0.999999995349706
"HMDB0000167",-0.987737501581529,-0.961391841034002,-0.982501755305363,-0.977342388748302,-0.947821855352126,-0.908442559204832,-0.993659720327479
"HMDB0000168",-0.997199112727673,0.00115570685890072,-0.999594728374745,-0.997991210383125,-0.996213433670726,7.31572895585127e-05,-0.99727759072491
"HMDB0000169",-0.999995103376971,-0.999997763335011,6.14743939547017e-07,2.9282247558886e-07,1.45793420415572e-06,-0.999998874228144,-0.999984981276599
"HMDB0000172",-0.997288681353402,0.00122955603114234,-0.998392636422312,-0.997404752610661,-0.996308691101578,-0.999725355843299,-0.996950328589057
"HMDB0000174",-0.999998818517863,-0.999999305889094,-0.999999781351817,-0.999997389440359,-0.999993906780233,-0.999997905075876,-0.999999140750129
"HMDB0000175",-0.999122410725624,0.000426124902150952,-0.99921574135348,-0.998832061324781,3.27673175318451e-05,-0.997102072811802,0.0010068635003621
"HMDB0000177",-0.993688419483382,-0.981928249572974,-0.99609191413802,-0.998991812263603,-0.994369069075846,-0.957325186698489,0.0106857692151935
"HMDB0000181",-0.999999999643488,-0.993653411707272,-0.957992389316493,0.00448171753275121,-0.99880818686865,0.00258121795373818,0.00994283735686109
"HMDB0000182",-0.991724316770809,-0.981756200810451,-0.989808966990754,-0.991595378493375,-0.989844069269085,-0.991042578046545,-0.987707303977344
"HMDB0000186",-0.984106713987587,-0.981002388580941,0.0027340474561351,0.00128858588623784,-0.992034677054787,-0.984322764665473,0.0125572749528063
"HMDB0000187",-0.995324802521371,0.00248012585103913,-0.998195221631797,-0.995618732304134,-0.994200673311443,0.000544266596665803,-0.994124500634274
"HMDB0000189",4.22190521760869e-07,4.42386299886387e-07,-0.999982040956271,-0.999995424288602,2.35055968092777e-06,2.01523494798713e-08,-0.999976452356856
