"","Endothelial cells","Fibroblasts","Macrophages","Myocytes","Neutrophils","NK cells","T cells"
"HMDB0000002",-0.999999999986755,2.28481416417343e-10,4.11085169927011e-10,-0.999999999984294,-0.999999999287007,2.61539598566125e-09,-0.999999999284491
"HMDB0000005",2.02725441303313e-10,-0.999999999274768,-0.999999998723767,-0.999999996819381,-0.999999999615235,-0.999999996645071,5.04069691550783e-10
"HMDB0000008",-0.978386974514306,-0.993716857858796,-0.994812421586112,-0.998521318015031,-0.985976233350382,-0.99999999574352,-0.997315688464524
"HMDB0000010",8.68877260667719e-09,-0.999999600633213,1.89216360705868e-08,-0.999999999337676,-0.999999999931179,4.91873340301574e-07,-0.999999983847592
"HMDB0000012",-0.999963649337983,1.0284328388819e-05,3.62681298971903e-06,0.000234470207034638,-0.999779876291483,1.10014013383507e-08,0.00022552285935157
"HMDB0000014",-0.998263411143645,-0.991435108502011,0.00344157049419765,0.000163088165787133,0.000345360740877682,-0.999999997527738,0.00251214057733496
"HMDB0000015",1.90257816287731e-10,-0.999999997825028,8.93438216435489e-10,-0.999999999033083,8.8173081180595e-11,-0.999999999650845,-0.999999999627639
"HMDB0000016",2.89657868279209e-10,-0.999999996065715,9.75559717913191e-10,-0.99999999937327,2.64089923664295e-10,-0.999999997463772,5.85777929522267e-11
"HMDB0000017",-0.999999999914829,-0.999999998570405,-0.999999999946174,-0.999999997284084,-0.999999999800806,1.19003673233311e-09,-0.999999999182091
"HMDB0000020",1.26383433610049e-09,2.29859209362447e-09,1.22594205545302e-09,6.06666756006309e-09,2.90927013410482e-09,4.13308074253571e-09,3.90999260409353e-09
"HMDB0000021",2.77268229249714e-09,-0.999999997406927,-0.999999999599676,-0.999999999110333,-0.999999998262542,3.4105049728984e-09,4.38656429613814e-11
"HMDB0000022",1.67213302143831e-06,3.21976341714041e-06,2.79188783580711e-10,3.67956193963395e-06,-0.999999996983581,3.50163300098443e-06,7.03162839260449e-06
"HMDB0000023",2.19933705980741e-08,1.88111801231741e-07,4.9319431627334e-08,2.00149642932273e-07,-0.999999878261114,-0.99999969394559,1.05978172360468e-06
"HMDB0000026",9.24236646556754e-06,1.44577260523112e-05,9.4677628511313e-06,8.00272189067478e-05,3.77025360453026e-06,3.67213919698243e-06,4.77545353591644e-05
"HMDB0000027",-0.97850198453028,0.0443837340907692,0.0338303330057349,-0.999289909206939,0.00877018804599402,-0.859285119934865,-0.995424504748693
"HMDB0000030",1.11749321781118e-07,2.57453030594914e-07,8.71780952760418e-08,5.81177237304641e-07,6.92542942673886e-08,7.94481733921002e-08,5.28010967291829e-07
"HMDB0000031",-0.999999999819339,3.37131140616375e-09,-0.99999999774705,3.37379639816891e-09,-0.999999999904157,-0.999999998230317,2.78685071636205e-09
"HMDB0000032",0.0581999812071808,0.0512796476023919,0.0254332462829532,0.015519205003234,-0.998645482908619,0.0380584872811902,0.0355680099828257
"HMDB0000033",2.61424995325449e-07,-0.999999737476925,-0.999999674854025,-0.999999558536233,-0.999999701068716,-0.999998580253603,3.85909087798579e-07
"HMDB0000034",-0.891113500548163,0.118937109654802,0.124543200757889,-0.975495842435682,-0.842896844050695,-0.999261735085643,0.00773552547835917
"HMDB0000036",-0.999999828645294,-0.999999984036957,2.21069303661631e-07,3.91215249330909e-07,1.64033214818009e-07,-0.999999619813755,-0.999999534818259
"HMDB0000037",4.0517172530484e-10,2.46550015362332e-09,1.134415423777e-09,-0.999999996520455,-0.999999997990562,2.23924018067551e-09,-0.999999994447554
"HMDB0000038",0.0215139486890136,-0.955649612726387,-0.966196746709372,-0.999241674124364,-1.9912369426821,-0.859173873306625,0.00457932051071058
"HMDB0000039",6.83446280286295e-09,8.28466817412099e-10,-0.999999995595565,-0.999999981248305,6.67670574515158e-10,-0.999999990032187,-0.99999998959296
"HMDB0000042",0.038610408968901,0.0516561086650002,0.0288318400185745,0.0179919125490433,0.0780709820161035,0.0332557418967335,0.0168180197106716
"HMDB0000043",-0.999999999719955,-0.999999999940695,4.77857270496341e-10,-0.999999998875646,1.51539799066699e-09,3.22279811527258e-09,-0.999999999954672
"HMDB0000044",-0.924554856522449,0.0232780259865686,0.0396569967408059,0.0068637088337977,0.0203187075757134,-0.971556640452469,-0.985816373033094
"HMDB0000045",0.105309621821242,-0.866641258025062,-0.874900414407937,0.025705173051901,0.154648993879924,-0.96582786528774,-0.9926366692815
