"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000002",-0.999999998388189,1.31654499925206e-10,2.63045549125985e-09
"HMDB0000005",-0.999999998994868,1.38142276423168e-09,-0.999999999893064
"HMDB0000008",-0.980815135375758,-0.993641339901208,1.09131170614812e-08
"HMDB0000010",4.2199254771631e-07,5.95207773994919e-07,-0.999999999508643
"HMDB0000012",0.000185372026433545,-0.999950707366914,-0.999999969826001
"HMDB0000014",-0.999916526712761,6.73393397135832e-05,-0.999999987110264
"HMDB0000015",5.2999558855579e-08,4.30395583902288e-08,-0.999999995364698
"HMDB0000016",7.25483021573258e-08,6.3638596170467e-08,-0.99999999161783
"HMDB0000017",6.68236544734156e-08,4.40170891124967e-08,1.77728773974967e-09
"HMDB0000020",9.54177225694267e-09,1.67393826230141e-08,-0.99999999990835
"HMDB0000021",-0.999999987608772,-0.999999993069469,-0.999999996586484
"HMDB0000022",8.51159027890732e-06,-0.999992901641193,-0.99999999714801
"HMDB0000023",1.11644027938355e-05,6.28074066759788e-06,5.62419698450692e-07
"HMDB0000026",4.25754393042065e-05,3.65235316802728e-05,3.41847260572668e-09
"HMDB0000027",0.0229467278147162,-0.964725728309624,2.47439338614721e-07
"HMDB0000030",6.80627708163038e-07,3.5383974964063e-07,1.88056400411529e-07
"HMDB0000031",-0.999999863341744,-0.999999903866588,4.79271196977402e-09
"HMDB0000032",0.0397392910588949,0.0400016680971915,0.0365192001144316
"HMDB0000033",2.14247041380331e-07,-0.999999742337922,-0.999996473908041
"HMDB0000034",-0.991688351042228,0.0184869145303844,-0.958553958274595
"HMDB0000036",3.40575319003646e-07,-0.999999661772919,6.87505578524034e-07
"HMDB0000037",-0.999999990671571,-0.999999991647873,-0.999999989283675
"HMDB0000038",-0.977023937215337,-0.964687123784626,-1.99999990706944
"HMDB0000039",-0.999999884408863,-0.999999925017064,-0.999999995975915
"HMDB0000042",0.0351615662793842,-0.975252630414375,0.0643477039331782
"HMDB0000043",-0.999999997268254,4.51958371474791e-09,-0.999999995146782
"HMDB0000044",0.00700814380790447,-0.987798718966264,0.00862395808780165
"HMDB0000045",0.00540064014511856,-0.980644376170079,0.0417254772446838
"HMDB0000050",-1.99759644323099,-0.9980887043485,6.92245403312442e-07
"HMDB0000051",1,0.928600844057187,0.210346293411931
"HMDB0000052",0.00835507212730881,0.00519106397068346,1.84408226373671e-08
"HMDB0000053",2.36105459217218e-06,2.69818686256137e-06,8.08665675833774e-07
"HMDB0000054",-0.999998047308217,6.30060404273365e-07,2.17680866973707e-06
"HMDB0000056",2.57643298363018e-07,7.13229212746889e-07,3.22489692269704e-06
"HMDB0000058",1.22532744093755e-05,-0.999997167700622,1.20101724840204e-08
"HMDB0000060",0.00199417337285989,-0.999769779747274,-0.988771169959559
"HMDB0000062",-0.997301226402705,-0.997583652934617,-0.99974660110273
"HMDB0000063",0.00525599751259089,-0.991924824336826,8.37443014699204e-09
"HMDB0000064",-0.999999941748876,-0.99999995852297,-0.999999988590289
"HMDB0000067",0.0285976298256679,0.0332042708536053,3.42580052267208e-05
"HMDB0000068",7.38073250817157e-08,1.25755060233378e-07,8.53643290758097e-10
"HMDB0000071",-0.999865998528509,-0.99990457893933,-0.999999984036171
"HMDB0000072",1.00067780033496e-07,5.20811344170983e-09,9.57725291145482e-09
"HMDB0000073",2.0009059283891e-07,1.704976249312e-07,7.13134331595489e-09
"HMDB0000076",-0.999744870501649,0.00076400139140624,-0.999999907306004
"HMDB0000077",1.45277901588903e-05,0.000360970327876026,0.000118852824641464
"HMDB0000078",-0.999999844233114,-0.999997554746079,9.20366942129924e-09
"HMDB0000079",7.76711468086823e-09,1.88990147702772e-09,2.49452045897425e-09
"HMDB0000082",0.000153575702081689,-0.999821032335496,5.86117943735023e-07
"HMDB0000085",-0.999999378897029,-0.999999651376914,-0.99999995627959
"HMDB0000089",-0.999992092804731,4.13912652867191e-05,-0.999999890896534
"HMDB0000092",9.98093000744975e-09,-0.999999988346344,-0.999999989519367
"HMDB0000094",-0.903422824482029,-0.966921206194174,-0.977949346631015
"HMDB0000095",-0.999944490726647,0.000100910245018906,-0.999999997051155
