"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000002",-0.999999994317199,-0.99999999755925,6.76815289045435e-09
"HMDB0000005",2.3722833037943e-09,-0.999999994831087,1.71272391260612e-09
"HMDB0000008",-0.969117100504478,-0.994883677718366,-0.976194651545612
"HMDB0000010",1.03012794002012e-06,4.21071484484705e-06,1.37430715709266e-08
"HMDB0000012",0.000719598677406462,-0.999725957658191,-0.996418245905382
"HMDB0000014",8.14517777395494e-06,1.82667896376602e-05,4.55645114704221e-08
"HMDB0000015",6.6271071119489e-08,6.09300923565521e-08,1.34608798542669e-08
"HMDB0000016",9.99947747265543e-08,9.47201172388517e-08,3.65144003272295e-08
"HMDB0000017",7.29846742874396e-08,3.00086987297368e-08,5.88383687216375e-09
"HMDB0000020",4.05832111462141e-10,1.08197289094699e-08,9.98216672220494e-09
"HMDB0000021",5.33739535389269e-09,-0.999999996673019,1.09790326388034e-08
"HMDB0000022",1.8035927655348e-06,2.86248345554221e-05,1.92065269262401e-08
"HMDB0000023",1.45397556867271e-05,8.02308769684507e-06,6.91214884224144e-07
"HMDB0000026",0.000167940626042123,7.3585197685145e-05,1.20278378312601e-05
"HMDB0000027",0.0091548678191901,-0.975959668767501,1.70138596537407e-08
"HMDB0000030",1.21634938726868e-06,1.99809026879039e-07,-0.999999942929447
"HMDB0000031",-0.999999848990866,-0.999999861140888,1.50838739662827e-08
"HMDB0000032",0.054728687742023,0.0683541884210027,-0.994382070243994
"HMDB0000033",-0.999997875054768,-0.999999017830695,-0.999999995198105
"HMDB0000034",0.0132165836073227,0.0318777286882192,-0.646657520641992
"HMDB0000036",-0.999999571735061,6.63760239648558e-07,-0.999998822293912
"HMDB0000037",-0.999999992688543,-0.999999993342286,-0.999999947823258
"HMDB0000038",-0.990761592890734,-0.97587925859205,-0.999997619436717
"HMDB0000039",-0.999999978952256,-0.999999975233884,-0.99999998612701
"HMDB0000042",0.0599806852781316,0.0208853516331653,0.00440527825789641
"HMDB0000043",-0.999999997415971,1.94437726276225e-09,6.25787812945947e-09
"HMDB0000044",0.0261065540133202,-0.9347292156423,-0.983281720495639
"HMDB0000045",-0.985298231242072,-0.962307441727257,0.373942701692691
"HMDB0000050",-1.99414739226789,-0.990585988764109,-0.978887922997
"HMDB0000051",1,0.83903777258052,0.1517949339413
"HMDB0000052",0.0105111403300429,0.00774807079020756,0.000152690353244734
"HMDB0000053",3.5038370671228e-06,5.54741539314125e-06,-0.999999561582088
"HMDB0000054",-0.999999279411933,6.82578591730584e-07,1.85963720806195e-06
"HMDB0000056",9.16576881801142e-07,2.3877523400672e-06,-0.99999943932443
"HMDB0000058",-0.999988931141406,-0.999999981420091,-0.999999977187294
"HMDB0000060",0.00232872548583377,-0.99923771620423,-0.997503377153281
"HMDB0000062",-0.996294566205453,-0.997020952302991,-0.994078094149626
"HMDB0000063",0.00397185750514446,-0.992124244618584,-0.98672225598084
"HMDB0000064",-0.99999993778702,-0.999999974505282,-0.999999996406188
"HMDB0000067",0.0447707004983667,0.0793227490521048,0.0403405357372735
"HMDB0000068",3.15472900606302e-08,3.28931485805066e-08,2.01631516990578e-08
"HMDB0000071",-0.999408737403812,-0.999755247735517,-0.999952501285575
"HMDB0000072",1.35285945650534e-07,-0.999999973615907,-0.99999996974377
"HMDB0000073",1.37535100955605e-07,2.61719004310652e-07,1.63005114878238e-07
"HMDB0000076",0.00115060042370827,-0.997801874209306,0.00357457937929786
"HMDB0000077",0.000272639069598351,0.000504972844011977,-0.998709212840521
"HMDB0000078",1.90256086343243e-06,-0.999994882557689,4.18798900068008e-06
"HMDB0000079",1.92109439704325e-08,1.12030541085106e-08,-0.999999995045455
"HMDB0000082",0.000191654229564895,-0.999507189523245,-0.998230702646396
"HMDB0000085",7.36037060010667e-06,-0.999949773368287,-0.999999993446177
"HMDB0000089",-0.999684102637639,0.000481662188754695,-0.999947411531449
"HMDB0000092",1.7058473034232e-08,-0.999999988405341,-0.999999976007777
"HMDB0000094",-0.906728181063659,-0.893909726155008,7.79850297102449e-07
"HMDB0000095",-0.999726980624743,-0.999707048778548,0.0037518888540099
