"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000002",3.84854818159903e-08,-0.999999995519868,3.24311503632826e-09,4.35174563198938e-09,-0.99999999801948,1.65797022668551e-09
"HMDB0000005",2.16560767697962e-08,-0.99999999875975,2.16760378101619e-09,3.62551220502685e-09,5.24145535269575e-10,1.15104323668222e-09
"HMDB0000008",-0.998800148858032,-0.999999996570009,2.06069243917563e-09,-0.9969730491286,-0.992916497414852,-0.997518525587457
"HMDB0000010",8.30326747594871e-08,-0.999999844723348,-0.999999998477117,1.07844718427172e-07,2.24558082382739e-07,3.63886222670962e-09
"HMDB0000012",0.000145169881252033,-0.999999999749702,1.38752676275451e-06,4.86819376193251e-08,3.93698379455323e-10,-0.999577215054311
"HMDB0000014",-0.999171626378626,8.92403595188727e-09,0.00657310214963523,-0.999999991268518,-0.999999992809475,0.00311616426333767
"HMDB0000015",2.48457634493007e-08,9.41783815277295e-09,2.9741414307817e-09,5.9744608344815e-09,8.54926187147733e-09,1.67947173964264e-09
"HMDB0000016",3.36793164751953e-08,8.13110680793271e-09,3.17996309792008e-09,7.23405147145686e-09,1.38206289947245e-08,1.86613653219668e-09
"HMDB0000017",3.75160198357729e-08,7.54641564837632e-09,6.60473277676693e-09,9.76682177746056e-09,9.98681306787198e-09,3.29179297829714e-09
"HMDB0000020",4.67400647827988e-09,-0.999999997910864,1.96039055408988e-09,2.72658400533603e-09,1.68365916557094e-09,1.53518034363322e-09
"HMDB0000021",-0.999999993904772,-0.999999992474509,-0.999999999504426,1.54063542542516e-09,-0.999999996215334,4.73592057080499e-09
"HMDB0000022",1.31504606264591e-06,3.42288194084356e-06,-0.999997000976581,-0.999996478554177,1.37763980134247e-07,3.0635531959006e-06
"HMDB0000023",1.15188829875619e-05,-0.99999753820704,-0.999999900080542,3.1398830689017e-06,3.09502327884496e-06,1.66404449878583e-06
"HMDB0000026",2.2058607730512e-05,-0.999999620755157,-0.999999994699642,8.04554633326106e-06,7.66477289968909e-06,2.22379119716086e-06
"HMDB0000027",0.0062165374883937,-0.999999958525897,7.30292638802135e-09,0.00672395454440435,-0.986744805472482,-0.956743765982611
"HMDB0000030",-0.999999736804664,1.46155639986118e-08,-0.999999974224912,-0.999999940736545,-0.999999917218686,7.97010284568096e-09
"HMDB0000031",-0.99999991106547,-0.99999996887561,-0.999999990306399,-0.999999976155692,-0.999999975324018,-0.999999996131611
"HMDB0000032",0.0216613573254055,-0.999769546004068,-0.99964252010162,0.0177691680228493,0.00389728215981846,-0.999652875313503
"HMDB0000033",3.03113820655225e-07,1.85580602202805e-08,7.77373176971353e-09,-0.999999091504119,2.85091197429669e-07,-0.999999998458953
"HMDB0000034",0.00564768347077366,-0.784110314125238,0.0251564133690458,0.0315425976256014,0.0196350196961727,-0.861772968055024
"HMDB0000036",-0.999999764743704,2.19608717255146e-06,-0.999999982772257,-0.999999365794889,5.91331471478342e-07,7.4119788946579e-08
"HMDB0000037",-0.999999998211942,1.10370710200986e-08,4.30647251836423e-10,2.80126218608239e-09,-0.999999990883928,-0.999999998138389
"HMDB0000038",-0.993800140410644,5.73913942357519e-08,-0.999999593934692,-0.993285167240532,0.0132623684787106,0.0432797760998072
"HMDB0000039",-0.999999759553223,-0.999999990398859,-0.999999974259367,-0.99999992124814,-0.999999911595908,-0.999999988475473
"HMDB0000042",0.0163382588868167,0.0147033855240417,0.0102535840290205,0.0239392152528601,0.0130806904840496,0.042944363366601
"HMDB0000043",-0.999999997848898,-0.999999994692306,5.87476632413395e-11,2.29375467725315e-09,1.58949264299054e-09,4.39990658120372e-10
"HMDB0000044",0.00318833336081423,-0.99999994993942,-0.998685347777133,0.000739042071415157,-0.993943732315227,-0.985993185886672
"HMDB0000045",-0.994566420652385,0.203703397222638,-0.972562829094871,-0.968755483562068,-0.978125093072177,0.135269724120443
"HMDB0000050",-1.99713093060995,0.0077032179389162,-0.989258478230663,0.00141353489934546,0.00323584862824631,-1.99185106504594
"HMDB0000051",1,0.199142698431775,0.326387847659716,0.754542072889723,0.798042587438618,0.288207063610134
"HMDB0000052",0.00157392705649202,3.72071806196066e-08,6.47057844936757e-08,0.000963407456641652,0.00116615922773268,0.000802356624255757
"HMDB0000053",9.89942167860594e-07,7.18869990752324e-07,3.73007451381836e-09,2.70620738711239e-07,3.82498261063769e-07,2.11423582380758e-09
"HMDB0000054",-0.999999278026345,-0.99999785172752,-0.999999681050383,2.33190039794716e-07,2.24321231709015e-08,-0.999999909115748
"HMDB0000056",-0.999999847568444,-0.999999986189103,3.17144133700791e-08,-0.999999981781024,6.7800502920913e-09,3.71390688282085e-08
"HMDB0000058",3.4390318100485e-06,-0.999999991572925,-0.999999998167894,3.5967973917446e-06,-0.999999998589684,1.03184255724138e-06
"HMDB0000060",7.05940232195503e-05,-0.999999996479779,-0.999860892935664,0.000159193260316663,-0.999923725059371,0.000252805859434409
"HMDB0000062",-0.998414630614622,-0.999990167062939,-0.999265742616695,-0.998515493531366,-0.999426836722015,-0.998890695048931
"HMDB0000063",0.00677089407343904,3.96421877123807e-10,-0.999999999610717,0.000936202026318796,-0.978269008951815,4.40773349622309e-09
"HMDB0000064",-0.999999983671622,1.55459274584599e-09,-0.999999994649476,-0.9999999919571,6.53208662881672e-10,4.91430154080416e-10
"HMDB0000067",0.0146979268829288,5.39052239828502e-05,2.77100217129094e-05,0.094939527696268,0.0122234578933778,0.00221276397895753
"HMDB0000068",8.52938165823484e-08,1.10244263797909e-08,4.270083458356e-08,4.95813864339548e-08,2.53519335673147e-08,-0.999999987799033
"HMDB0000071",-0.999797903044368,-0.999999998202179,-0.999999622383039,-0.999999973926218,-0.999930735346231,-0.99997674027222
"HMDB0000072",4.9013575339335e-08,6.46160445415337e-08,-0.999999967814802,2.3518984835203e-08,8.19864374531041e-09,4.25218449813124e-09
"HMDB0000073",1.20998814328807e-07,2.96117406498738e-08,2.27117077425002e-08,7.12721538465258e-08,1.58306352651205e-08,1.34865064900873e-08
"HMDB0000076",-0.999978039458411,3.27720856993157e-07,-0.999999998600455,0.000387748805313906,-0.999992356123894,-0.99999778558711
"HMDB0000077",5.35162715102017e-05,3.4853306334351e-05,-0.999970868695148,-0.999991354356422,1.27577785334809e-05,-0.999970288991311
"HMDB0000078",-0.999999973939249,1.35564542592337e-08,1.31789916317858e-06,3.8894038314148e-07,1.40343786404515e-06,-0.999999662875114
"HMDB0000079",1.47594192857762e-08,4.6514362251548e-10,6.50380516377028e-10,5.46795981392422e-09,2.71230569311974e-09,6.68776045604738e-10
"HMDB0000082",0.00010744408659756,0.00012139536890558,1.28172821393079e-05,-0.999334344281492,0.000675326308343448,0.000199004472576066
"HMDB0000085",-0.999998124169469,7.32097568061245e-09,-0.999998846138202,-0.99999999214845,-0.999999978219068,-0.999998191168385
"HMDB0000089",-0.999853564613904,0.00148652492620942,-0.99930706911861,0.000139262361417418,0.000415840595442831,-0.999997888641474
"HMDB0000092",-0.999999994156478,2.16885528324151e-08,-0.999999997079986,-0.999999994700613,5.66802399322173e-09,7.48885002241956e-09
"HMDB0000094",-0.929328474633958,-0.999966696173726,-0.774367544779981,-0.972594004564348,-0.928421567960139,-0.97804995056634
"HMDB0000095",-0.999913151759608,-0.998520225440948,-0.999704968299752,0.000574441893970127,0.00053537373725571,-0.999833811649981
"HMDB0000097",0.010885926387689,0.0340508908361432,0.0341486878923944,0.0168418048082747,0.0214096031487976,0.0113009458042603
"HMDB0000098",-0.999999228044041,-0.999999997324502,6.6883609394613e-09,6.69682909940482e-07,7.5701145733515e-07,9.75764135167632e-09
"HMDB0000099",1.46956543522876e-08,8.11081186837884e-09,-0.999999996112626,-0.999999999593152,-0.999999999181097,2.98639107142172e-10
"HMDB0000101",-0.998932833431712,8.27396034926059e-08,8.05587343293865e-06,4.53667686483746e-07,6.97358129089124e-05,-0.998775014877323
"HMDB0000107",1.41760727114138e-09,-0.999999993294479,-0.999999999410521,5.09103198025146e-10,7.0477201878367e-10,-0.999999998796873
"HMDB0000108",-0.999998308355925,-0.999996784384646,1.83031199117281e-06,-0.999998097713859,3.13652349851406e-06,4.42264567783452e-07
"HMDB0000112",5.32083560837001e-08,2.44008048453711e-08,1.67817714311142e-09,2.44009890668763e-08,2.66702774323993e-08,5.18098390649157e-09
"HMDB0000115",-0.999999809386634,-0.999999369363838,-0.999999492994221,-0.999999219389784,4.22172991087326e-07,-0.999999376894843
"HMDB0000118",3.65864866150407e-08,9.809230511276e-09,-0.999999994138398,2.3965412417826e-07,4.74790499074991e-09,1.51185196207377e-08
"HMDB0000119",5.24198208903033e-07,8.46973915692691e-08,1.47333779625035e-08,4.59118732097198e-07,5.5003188061388e-07,1.1641481742972e-07
"HMDB0000121",1.15506212584835e-06,2.24689739920962e-08,-0.999999943207433,3.79838423216448e-07,-0.999999984992178,-0.999999998585619
"HMDB0000122",-0.992027751955057,-0.999891589803963,-0.933091259986131,-0.975111501746918,-0.980615528787145,0.0282896547964957
"HMDB0000123",0.324437788116758,0.191209767045261,0.45525971050112,0.296321967827655,0.279185404906995,0.158284809642736
"HMDB0000125",-0.999995505223016,1.23659196803214e-06,-0.999996017957356,-0.999998723588072,-0.999995334448125,5.52231385564868e-06
"HMDB0000126",0.0205420808529991,-0.950509851113003,-0.916338782957714,0.00282411910622567,-0.991892867394,-0.91691280744881
"HMDB0000127",0.00021001704377621,-0.999997464482659,3.22732252635873e-06,0.000273539685250654,0.000192237706561258,3.88411935567095e-06
"HMDB0000128",-0.999999985174985,0.000884090393782678,0.00269250677209736,0.00267648988679946,-0.999999944835081,-0.999999986458145
"HMDB0000130",6.15185204005244e-09,-0.999999991671279,3.11977286081324e-09,-0.999999998939008,3.25268420977347e-09,-0.99999999900032
"HMDB0000131",-1.99135051690615,-3.95491743595203,-1.97582951403955,-1.9807142321851,-0.956956003642879,-2.99912724459954
"HMDB0000132",7.16769143158651e-09,1.46117953806381e-09,-0.999999998371984,-0.999999998261141,1.88177311516129e-09,-0.999999994330015
"HMDB0000133",-0.999988921382477,4.74263716600631e-06,-0.9999829073429,1.61151986899251e-06,8.18284374353451e-07,-0.999873896768945
"HMDB0000134",-0.997906395621055,-0.95492137866697,-0.975833156834173,0.00813170690074248,0.0280404123527412,-0.999131509765094
"HMDB0000138",-0.999999758839902,2.21952589212142e-06,-0.99999998522255,-0.999999367325553,5.91598452066195e-07,7.48280453924276e-08
"HMDB0000139",0.00279341198755548,0.023556890915004,0.0123527381516919,0.00313312336429144,0.00266340999781172,0.0150161583338087
"HMDB0000142",4.16370658400742e-05,2.48496158861587e-08,-0.999999961834141,7.66694249308261e-06,5.72142965620555e-07,3.10236126139476e-08
"HMDB0000143",2.81445631611323e-05,-0.9999985460642,-0.999999509451271,1.11858713015157e-05,2.42101470857491e-06,7.45472613739436e-07
"HMDB0000145",1.023698734163e-05,1.43359658810881e-06,2.04527351071792e-06,2.11991646578141e-06,2.12964962554495e-06,2.9693003510245e-09
"HMDB0000148",-1.99687665579564,-0.976440847822013,-1.98761549584289,-1.99627763843963,-0.99699255696138,0.0150162529637732
"HMDB0000149",3.42003308846893e-06,0.000178690297981008,0.00123694825261017,0.000213218805225862,-0.999958902502927,0.000157392005221087
"HMDB0000151",-0.999991611686058,-0.999999225526957,-0.999999148206816,-0.999997893518884,1.35821061347612e-06,-0.99999824965151
"HMDB0000152",-0.999999996397808,8.56726706147626e-09,-0.999999997356024,9.08073848969045e-10,-0.99999999766843,7.30130621313049e-10
"HMDB0000153",-0.999998334801722,-0.999999306103975,-0.99999883768147,4.85940697684203e-08,-0.9999966008443,1.77817055404393e-06
"HMDB0000156",0.00698329920574267,-0.915167663593259,0.0269362587000348,0.0266308600048157,0.00136172396984594,-0.866119271270121
"HMDB0000157",-0.999999953534091,1.92920413107744e-10,-0.999999998966118,-0.999999985238054,-0.999999990616805,-0.999999996182716
"HMDB0000158",-0.995336539786176,-0.985130015697105,-0.986901724010802,-0.994771629031979,-0.995920674663506,-0.997026896444081
"HMDB0000159",-0.994300495850728,-1.99220141498201,-0.999252644664468,-0.994583581535665,-0.993772488370728,-1.99232618477595
"HMDB0000161",0.00167600403348579,0.0472118014504725,0.0494795237586058,0.0271322122664983,0.0347818810034392,0.0317184486975168
"HMDB0000162",-0.949338522004263,-0.9492402354723,-0.999256868066814,-0.942699263552694,-0.961031752221283,-0.965347275470426
"HMDB0000163",2.31355196840575e-08,1.96617949842621e-09,-0.999999999002795,6.04858545548161e-09,2.46180744114211e-09,3.75863774566326e-11
"HMDB0000164",-0.999999993820117,-0.999999993965008,-0.999999996514667,-0.9999999999781,-0.999999998010402,-0.999999997859997
"HMDB0000167",-0.992204934549515,-0.945065549634775,-0.976551344316565,-0.964538502516654,-0.960206619892323,-0.939629900513015
"HMDB0000168",-0.998534271167467,0.000680992667536516,-0.998974630502903,-0.998375346790818,-0.999642471657175,0.000112188022020706
"HMDB0000169",-0.999938802637443,-0.999999994013793,-0.999999154543682,3.25241069234463e-07,-0.999999764500038,1.54504233589064e-07
"HMDB0000172",-0.997977781133807,0.000615273919376678,-0.996989184609997,-0.997566207084011,-0.999059366402675,-0.999285758254348
"HMDB0000174",5.73771301962762e-06,-0.999994951442284,-0.99999890246253,1.06281624725489e-06,-0.999999075487783,2.48107986558788e-06
"HMDB0000175",0.000433385300037638,-0.995242263741686,0.00567536647832183,-0.998484928704624,-0.998056806450042,0.0036342611491257
"HMDB0000177",0.00729182642682115,-0.985298393407268,-0.98832902209031,-0.989730874117154,-0.991311012479971,-0.991793240300121
"HMDB0000181",0.00319788419330623,-0.96780171647039,-0.990598127289013,1.06957860906377e-08,-0.999790355645218,-0.999999998413729
"HMDB0000182",-0.992661415219647,-0.995313019883296,-0.993211002431004,-0.995119850474211,-0.99100087832553,-0.992439499097546
"HMDB0000186",0.0109204886550665,-0.987731152531166,-0.982692431985056,0.00192629122065161,-0.971124757192203,0.00244240552111381
"HMDB0000187",-0.994845309369453,0.00184480295575431,-0.997584341130545,-0.995108598449239,-0.999472807017081,0.000615346488785477
"HMDB0000189",-0.999975885385271,1.17931875832252e-08,-0.999999905853333,-0.999996230635857,-0.999989445737602,-0.999997825794045
"HMDB0000190",-0.984365277617611,-0.974268022366359,-0.987057781400599,-0.968111460732988,-0.988491900150002,0.0279287786999638
"HMDB0000191",0.00508649392689919,0.0246041764393305,0.00872545876300782,0.00883137432101837,-0.999405306795376,0.0135730921971657
"HMDB0000192",1.05558066616218e-08,3.47236385455455e-08,3.63592781060155e-09,-0.999999995988752,9.36890174228912e-09,1.70846000036702e-09
"HMDB0000193",0.0463198238217692,2.55005176182446e-09,0.201689429723782,-0.930041962587105,0.0392927642749224,-0.979917001981457
"HMDB0000195",-0.999405038950238,0.00463119097543815,-0.994256147178392,0.00158366034891193,0.00184972365734422,-0.996285762437078
"HMDB0000197",-0.984379813218955,0.0257319980137405,0.0129410809637964,-1.96811654021314,0.0114974451340469,0.0279284782651727
"HMDB0000201",2.76831129598726e-05,3.58827720697086e-09,-0.999762037707922,0.000449225911172225,6.06081707740233e-05,3.11695520723364e-09
"HMDB0000202",6.00360215138204e-05,-0.999384554966294,6.23404514697758e-05,0.000255026033805416,-0.999987145810734,3.12291462115507e-05
"HMDB0000205",0.000595300090973499,1.12029149478848e-09,0.000555642854515957,8.47074358922882e-05,-0.999191217514229,-0.999970518882016
