"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000002",1.73348090885881e-09,-0.999999999665911,-0.999999999854394,3.70225609813581e-10,6.07358420022721e-10,5.89509169984284e-10
"HMDB0000005",-0.999999998739429,7.59790348825312e-11,1.06114038611826e-09,4.64946938425946e-11,9.08713236697333e-11,-0.999999999961611
"HMDB0000008",-0.999999998755646,-0.994790111500138,1.05603308864815e-09,-0.996721356732242,-0.993050314745313,-0.989395880123007
"HMDB0000010",2.87724052932634e-09,1.58523103435057e-09,2.70899524199383e-10,1.18410340074793e-09,-0.999988813424795,-0.999999150006858
"HMDB0000012",2.88920838869642e-05,6.68744463055868e-06,9.60039835961545e-05,6.60109956703713e-05,1.96319036130605e-05,0.000222881066821131
"HMDB0000014",0.000237214138412767,0.000139784934457233,-0.993064053986489,0.000125352401541161,0.00215580535080799,0.00325442578579197
"HMDB0000015",3.78816095149256e-10,5.61070169335448e-10,1.51745835654229e-10,2.3652953853956e-10,1.89072117519081e-09,6.37597683801594e-10
"HMDB0000016",4.3257197806865e-10,6.88243141500362e-10,2.0433424450531e-10,3.25555878511517e-10,2.61743926714689e-09,7.1292567323244e-10
"HMDB0000017",1.07638371236514e-09,1.44761729182612e-09,4.81079183033024e-10,1.85016704687952e-10,9.44541480367256e-10,1.74171256808209e-09
"HMDB0000020",9.60875025563447e-10,2.42037601724416e-09,4.89245774831257e-10,2.25402809170447e-09,6.83493338527828e-10,-0.999999999562977
"HMDB0000021",-0.999999999937619,-0.999999999939539,-0.999999999671677,3.30743258232572e-10,-0.999999999760144,2.01363540766199e-09
"HMDB0000022",1.57722090874253e-06,6.98992149449587e-07,6.11600144892921e-07,-0.999999423256083,4.85413306634e-07,-0.99999957325564
"HMDB0000023",2.42626024281854e-07,6.80437665398413e-08,7.71032783126896e-07,5.12780467557723e-08,1.17386470232812e-07,3.05983495920345e-07
"HMDB0000026",1.38505751684208e-05,7.05986504948753e-06,3.06556583061029e-06,7.03369003500097e-06,6.27073701893871e-06,3.68308146418983e-06
"HMDB0000027",0.0104873862640422,-0.987040149253797,0.0026784280829803,-0.99132919668148,-0.995203893291497,0.00789482742700306
"HMDB0000030",7.57607198710671e-08,1.57134487849296e-07,2.25703323607931e-08,8.62701994141656e-08,1.10547339712076e-07,9.00623790325826e-09
"HMDB0000031",-0.999999996874827,-0.999999995842248,-0.999999999111452,-0.999999997043893,-0.99999999605826,-0.999999996830404
"HMDB0000032",0.0345459962356279,0.00947760426259413,0.0164836394252875,0.0142992899069998,0.0258894652127033,0.0202984249628775
"HMDB0000033",-0.999999789990866,2.15394558522797e-08,1.41388814840118e-07,1.57582909691021e-09,-0.99999999417211,-0.999999726210398
"HMDB0000034",0.0288772764858443,-0.96413060501085,-0.997126710421996,-0.976029982307971,-0.980190612656805,0.0385851042421186
"HMDB0000036",2.04206190055553e-07,-0.999999920956692,2.20452016904025e-07,-0.999999974071227,-0.999999940638937,-0.999999699842173
"HMDB0000037",-0.999999999585725,-0.999999998833278,1.50621221072152e-10,-0.999999998595841,2.64341063026455e-10,-0.999999999758945
"HMDB0000038",-1.98951804761523,-0.987031563528742,-0.997322902220066,-0.991304911739835,0.00479883954532291,-0.99210902371002
"HMDB0000039",-0.999999984922494,-0.999999983910311,-0.999999994815512,-0.999999996815958,3.04288779158258e-11,-0.999999994768088
"HMDB0000042",0.0106700231831271,0.0408274211226427,0.10275469499822,0.0205962425443863,0.0128760796254372,0.0269842089868475
"HMDB0000043",5.4348653148172e-10,7.05618817075613e-10,-0.999999999889985,-0.999999999810087,2.79601684612928e-10,-0.999999999830447
"HMDB0000044",0.00714696567492647,-0.996982836627434,-0.997402413296463,3.71681410814695e-05,0.000988324411710125,-0.981264169572917
"HMDB0000045",-0.972240694642692,0.034408409946595,-0.985627477000397,0.0246356375196752,0.0206641784243126,-0.95688741944044
"HMDB0000050",-1.99742854210063,-0.999325073063948,0.000972016325294835,-0.998642724588608,-1.9882191805888,-1.9959581222038
"HMDB0000051",0.895060515863805,0.995082676621582,0.837162849847279,1,0.943672589353874,0.674776569939372
"HMDB0000052",0.00325593479312629,0.00162320653661929,0.00347024591221032,0.00405482263059066,0.00487046378689827,0.0056422847894944
"HMDB0000053",3.29316455733413e-10,6.51121437467627e-10,1.86084140651177e-10,2.20452033155211e-10,4.59252412050207e-08,6.54962042070392e-09
"HMDB0000054",5.15172017972179e-08,-0.999999976480285,1.88588299593307e-07,2.43870462125389e-08,-0.999999987629542,2.13810098454967e-07
"HMDB0000056",2.23170209286694e-07,1.10268047073311e-07,-0.999999728345062,-0.99999996486097,-0.999999872562852,2.73297253950629e-07
"HMDB0000058",1.59385197781935e-06,3.61257452335342e-06,1.8653868633412e-06,1.6859309234882e-06,1.92508032675406e-06,-0.999998473026056
"HMDB0000060",3.20735920143729e-05,-0.999999704408925,-0.999869913714043,3.24037194165643e-05,2.3919577838317e-05,-0.99998027299741
"HMDB0000062",-0.9986511586971,-0.998632437463692,0.000429906118183921,-0.998401026894114,-0.998136887421289,-0.997235913709014
"HMDB0000063",0.0067824473406306,-0.991309230225564,1.395359708941e-09,0.000189609320053505,-0.99474535023316,-0.999999999887559
"HMDB0000064",-0.999999999968494,2.76172781139144e-10,-0.999999999719117,-0.999999999142636,1.06324767572744e-10,-0.999999999770482
"HMDB0000067",0.000500708737607375,0.0803242978406277,0.00205526485684604,0.167679325593964,0.000311657496329103,0.000869203049196812
"HMDB0000068",8.39476110066914e-10,8.07793719759417e-09,3.10266698226123e-09,6.40964695717188e-09,3.73346321569416e-09,6.21293875019038e-09
"HMDB0000071",-0.999578474736639,-0.999937664422754,6.81869868570349e-06,-0.999787748666894,-0.999802868921454,-0.999922024629548
"HMDB0000072",2.86068733400095e-08,5.58382237687761e-09,7.62788112826939e-09,6.42670120034494e-09,1.5273140986717e-08,-0.999999998152722
